generation,success,terminal_reason,persistent_rank,support_rank,lambda_keep,lambda_up,omega_keep,omega_up,formation_eigenvalue,formation_gap,spectral_novelty,spectral_mismatch,commutator_norm,second_moment_loss,crossfed_gain,neutral_partition_residual,reciprocal_balance_residual,PY_commutator_norm,schur_stratum_compatible
0,True,,6,6,0.15451043838084225,0.0026990630186986735,0.01716857438431234,0.9828314256156876,-1.0100913584963016,1.3729787130909774,True,0.0012505929247268348,0.016823759275814854,0.005215656036824168,0.06293093470308904,6.865001808235721e-16,0.0,2.2813641050371614e-15,True
1,True,,6,6,0.9233011073930464,0.003452254515712922,0.0037251060072796406,0.9962748939927203,-1.1939254219117743,1.555274530738688,True,0.0021588534789803264,0.018182873993650085,0.010611586265128814,0.08040882740854494,8.095052797417726e-16,0.0,2.6562537992176167e-15,True
2,True,,6,6,0.9489370779935199,0.0022417950024754643,0.0023568595414806934,0.9976431404585193,-1.2273562400017384,1.5885704235912872,True,0.002746855716196516,0.017600422246402507,0.01405827352252631,0.06533561205204523,7.789300824408002e-16,0.0,2.944868965529574e-15,True
3,True,,6,6,0.9540056238809852,0.0016552008539339764,0.0017319961340814564,0.9982680038659185,-1.2284741904740175,1.5889559133897406,True,0.0027789655202437326,0.01655140380183022,0.014610532188035208,0.056341612644383525,8.833712138057193e-16,0.0,4.754334240651391e-15,True
4,True,,6,6,0.9575648676803834,0.001294306476735826,0.0013498400094816637,0.9986501599905184,-1.2280649714901173,1.5873671128852513,True,0.002688193181935251,0.016123404275851932,0.014345025609840079,0.049946780450789464,7.795166051717124e-16,2.168404344971009e-19,3.4090311088422676e-15,True
5,True,,6,6,0.9522196065812635,0.0010084627620076552,0.0010579448868962055,0.9989420551131039,-1.2256456110733631,1.5836403115862239,True,0.0019629558112667076,0.008976631761358102,0.008934610063131565,0.04413095492209504,7.877561739130622e-16,0.0,4.03783273490082e-15,True
6,True,,6,6,0.9595163574801824,0.0009590847561240516,0.00099855208571599,0.999001447914284,-1.225305966524199,1.5829653972327364,True,0.0019364381828732883,0.0075679072649408275,0.008146734331083483,0.043070662113124096,5.903677455779645e-16,1.0842021724855044e-19,3.848718725670742e-15,True
7,True,,6,6,0.9596479211841316,0.0009684310869675022,0.0010081351256179716,0.998991864874382,-1.2249187370919954,1.5820742324170276,True,0.0018633093604358516,0.006550497956630576,0.007362237146114836,0.043274250281083435,6.212720544266967e-16,0.0,4.106652244626755e-15,True
8,True,,6,6,0.9601845900770569,0.0009869956731718916,0.0010268673021596932,0.9989731326978404,-1.2259229373495437,1.5810630454389372,True,0.0017859650006464473,0.0060533184467852245,0.0068514954034579745,0.04368108528342004,7.307430508915954e-16,2.168404344971009e-19,4.2652467639541e-15,True
9,True,,6,6,0.9608384410311858,0.0009951163120065715,0.0010346034450651877,0.9989653965549349,-1.2277245461632253,1.5785633826927548,True,0.0016530764712267664,0.005688396676006501,0.006249735267858103,0.043858931061970016,8.035635368286704e-16,0.0,3.7780160366696254e-15,True
10,True,,6,6,0.9613614242050765,0.0009958749381053678,0.0010348286847224287,0.9989651713152775,-1.2293283937313246,1.5763287373994468,True,0.0015469519810446736,0.005447001531599942,0.005809499345380331,0.04387581128669949,8.101393114256413e-16,0.0,3.9623038844118425e-15,True
11,True,,6,6,0.9617448780623712,0.0009900049462311603,0.0010283256207953507,0.9989716743792046,-1.2304789239357499,1.5740657473575261,True,0.0014622064337638315,0.005248841303883844,0.005467432640092085,0.04374814480016135,7.388365291414291e-16,0.0,3.2329104342199122e-15,True
12,True,,6,6,0.9620260038552286,0.0009799076031272117,0.0010175509739532755,0.9989824490260468,-1.2312078652187763,1.571764485673057,True,0.0013959009942389362,0.005077758004509281,0.0052004075633758085,0.043527511095491016,8.475960759502693e-16,0.0,3.29761257131813e-15,True
13,True,,6,6,0.9622328147286549,0.0009679455337964747,0.0010049260483689097,0.9989950739516311,-1.2316275958380718,1.5695080917680615,True,0.0013448188153523525,0.004932644017616166,0.004994909693994298,0.04326465956300988,8.107437846422841e-16,1.0842021724855044e-19,3.3395130636380872e-15,True
14,True,,6,6,0.9623646045634666,0.0009559417997333057,0.0009923402997499108,0.9990076597002501,-1.2318410355284144,1.5673564095084154,True,0.0013056246223577812,0.004812448555021854,0.004837039543348354,0.04299922698265787,6.009977783061676e-16,0.0,3.636621531081534e-15,True
15,True,,6,6,0.9623707005620288,0.0009450135091553141,0.000981000823874739,0.9990189991761252,-1.2319225137934318,1.5653371357389116,True,0.001274793341627789,0.0047144963105980285,0.004713199698367365,0.04275597482970506,6.500546852592669e-16,1.0842021724855044e-19,3.445004361582952e-15,True
16,True,,6,6,0.9620501779941834,0.0009351243431129876,0.0009710681365990879,0.9990289318634009,-1.2319244362732682,1.5634602755297327,True,0.001249131297344464,0.004634627622705166,0.004610566648406422,0.042534157715750004,5.233478476722766e-16,0.0,3.97931931356612e-15,True
17,True,,6,6,0.960983380624762,0.0009248490255482526,0.0009614732435384922,0.9990385267564615,-1.23189160850507,1.561735481504007,True,0.0012253987102965296,0.004565346775940219,0.004514791762481263,0.04230144280668457,7.565768317068459e-16,0.0,3.4413909447092475e-15,True
