generation,population_size,total_nodes,mean_unit_nodes,mean_fitness,max_fitness,mean_age,mean_lineage_depth,max_lineage_depth
0,1,24,24.0,0.544850150056038,0.544850150056038,0.0,0.0,0
1,1,24,24.0,0.6525494307251887,0.6525494307251887,1.0,0.0,0
2,1,24,24.0,0.6996940323668227,0.6996940323668227,2.0,0.0,0
3,1,24,24.0,0.7309499356408387,0.7309499356408387,3.0,0.0,0
4,1,24,24.0,0.7542740373899551,0.7542740373899551,4.0,0.0,0
5,1,24,24.0,0.7665841447159331,0.7665841447159331,5.0,0.0,0
6,1,24,24.0,0.7716218083402041,0.7716218083402041,6.0,0.0,0
7,1,24,24.0,0.7769751986326153,0.7769751986326153,7.0,0.0,0
8,1,24,24.0,0.7814934358940402,0.7814934358940402,8.0,0.0,0
9,1,24,24.0,0.7861216722005029,0.7861216722005029,9.0,0.0,0
10,1,24,24.0,0.7908265120659729,0.7908265120659729,10.0,0.0,0
11,1,24,24.0,0.7961727362446215,0.7961727362446215,11.0,0.0,0
12,1,24,24.0,0.8020769266518553,0.8020769266518553,12.0,0.0,0
13,1,24,24.0,0.8017120500966433,0.8017120500966433,13.0,0.0,0
14,1,24,24.0,0.8015930209545981,0.8015930209545981,14.0,0.0,0
15,1,24,24.0,0.8015893956254492,0.8015893956254492,15.0,0.0,0
16,1,24,24.0,0.8015839247291233,0.8015839247291233,16.0,0.0,0
17,1,17,17.0,0.77157649369109,0.77157649369109,0.0,1.0,1
18,1,17,17.0,0.7905213326317697,0.7905213326317697,1.0,1.0,1
19,1,17,17.0,0.8058068100180583,0.8058068100180583,2.0,1.0,1
20,1,17,17.0,0.8235375040483925,0.8235375040483925,3.0,1.0,1
21,1,17,17.0,0.8429462394786603,0.8429462394786603,4.0,1.0,1
22,1,17,17.0,0.8620587557456473,0.8620587557456473,5.0,1.0,1
23,1,17,17.0,0.8789814438159913,0.8789814438159913,6.0,1.0,1
24,1,17,17.0,0.8922488676632158,0.8922488676632158,7.0,1.0,1
25,1,17,17.0,0.9039886418845188,0.9039886418845188,8.0,1.0,1
26,1,17,17.0,0.91247694007108,0.91247694007108,9.0,1.0,1
27,1,17,17.0,0.9206000301819569,0.9206000301819569,10.0,1.0,1
28,1,17,17.0,0.9284259811181429,0.9284259811181429,11.0,1.0,1
29,1,17,17.0,0.9351697456034828,0.9351697456034828,12.0,1.0,1
30,1,17,17.0,0.933541289180649,0.933541289180649,13.0,1.0,1
31,1,17,17.0,0.9308187594854801,0.9308187594854801,14.0,1.0,1
32,1,17,17.0,0.9276982036793184,0.9276982036793184,15.0,1.0,1
