generation,environment,perspective_closure,historical_present_distance,identity_step_distance,perspective_step_distance,self_index_similarity,transverse_adaptation,identity_rho,identity_closure,identity_failure,identity_exports_this_step,identity_exports_total,identity_norm,identity_0,identity_1,identity_2,identity_3,identity_4,identity_5,identity_6,present_self_0,present_self_1,present_self_2,present_self_3,present_self_4,present_self_5,present_self_6
0,perspective_A,True,,0.0,,1.0,0.0,0.965,False,identity_initialization,0,0,0.9473778675567037,0.3567398790031017,0.17860627862049167,0.32410519562478,0.7548431931902055,0.2517477456612733,0.008971807625091298,0.008451922167250893,0.3567398790031017,0.17860627862049167,0.32410519562478,0.7548431931902055,0.2517477456612733,0.008971807625091298,0.008451922167250893
1,perspective_A,True,0.0071366746167255,0.0071366746167255,0.0071366746167255,0.999842160048059,0.0,0.0,False,identity_ablated,0,0,0.9557850082065963,0.3626168139613905,0.18629536973016758,0.3303118356743477,0.756087662000087,0.25662244602248274,0.018889671816973597,0.018485195234121066,0.3626168139613905,0.18629536973016758,0.3303118356743477,0.756087662000087,0.25662244602248274,0.018889671816973597,0.018485195234121066
2,perspective_A,True,0.007119256571518991,0.007119256571518991,0.007119256571518991,0.9993838873728944,0.0,0.0,False,identity_ablated,0,0,0.9645952516557741,0.36869808047038255,0.19394665824072282,0.3367215982542632,0.7573428096303461,0.26136540502889644,0.02868883622708751,0.028388878665808373,0.36869808047038255,0.19394665824072282,0.3367215982542632,0.7573428096303461,0.26136540502889644,0.02868883622708751,0.028388878665808373
3,perspective_A,True,0.00706838845279033,0.00706838845279033,0.00706838845279033,0.9986501109028527,0.0,0.0,False,identity_ablated,0,0,0.9736877007163891,0.37484202127517513,0.20159286850319538,0.34318568392808774,0.7585883899001472,0.26601261524216624,0.03835525897474708,0.03814337003830906,0.37484202127517513,0.20159286850319538,0.34318568392808774,0.7585883899001472,0.26601261524216624,0.03835525897474708,0.03814337003830906
4,perspective_A,True,0.007027828725611323,0.007027828725611323,0.007027828725611323,0.997662245584584,0.0,0.0,False,identity_ablated,0,0,0.9830371704398542,0.38102081428163675,0.20912774925675334,0.34965082330968156,0.7598336585309181,0.2706689061172479,0.048043572366874156,0.04772916906108235,0.38102081428163675,0.20912774925675334,0.34965082330968156,0.7598336585309181,0.2706689061172479,0.048043572366874156,0.04772916906108235
5,perspective_A,True,0.006942018317423401,0.006942018317423401,0.006942018317423401,0.9964514633869052,0.0,0.0,False,identity_ablated,0,0,0.9925895031725144,0.3872139905353349,0.21661728713928685,0.3561285126966595,0.7610605337107377,0.27524802235611595,0.057476901202989754,0.05718808218429265,0.3872139905353349,0.21661728713928685,0.3561285126966595,0.7610605337107377,0.27524802235611595,0.057476901202989754,0.05718808218429265
6,perspective_A,True,0.006861281039274627,0.006861281039274627,0.006861281039274627,0.9950395598879326,0.0,0.0,False,identity_ablated,0,0,1.002297062716023,0.3933696386797514,0.22408873452945244,0.3625579578880547,0.7622738097581943,0.2797421536338163,0.06676981835581518,0.06648648973239074,0.3933696386797514,0.22408873452945244,0.3625579578880547,0.7622738097581943,0.2797421536338163,0.06676981835581518,0.06648648973239074
7,perspective_A,True,0.0067747481304425055,0.0067747481304425055,0.0067747481304425055,0.993447738364,0.0,0.0,False,identity_ablated,0,0,1.0121055400343155,0.39945070856324605,0.23147943912717078,0.3689069029304478,0.7634639404386316,0.2841695532169525,0.07595964032247302,0.07564609404711917,0.39945070856324605,0.23147943912717078,0.3689069029304478,0.7634639404386316,0.2841695532169525,0.07595964032247302,0.07564609404711917
8,perspective_B,True,0.006305759843548475,0.006305759843548475,0.006305759843548475,0.991823246369541,0.0,0.0,False,identity_ablated,0,0,1.0216756165780092,0.40524615939557673,0.2382643258787742,0.3749285535909329,0.7648536071306832,0.2881679959351865,0.08469940356562815,0.08390162891411544,0.40524615939557673,0.2382643258787742,0.3749285535909329,0.7648536071306832,0.2881679959351865,0.08469940356562815,0.08390162891411544
9,perspective_B,True,0.006604328818084092,0.006604328818084092,0.006604328818084092,0.9899243811645327,0.0,0.0,False,identity_ablated,0,0,1.0314428349062241,0.4109390952908596,0.24523921033874607,0.38091091362545565,0.7659677543265917,0.2925616405414502,0.09355499208571044,0.09336239342359912,0.4109390952908596,0.24523921033874607,0.38091091362545565,0.7659677543265917,0.2925616405414502,0.09355499208571044,0.09336239342359912
