generation,environment,reward,intrinsic_fitness,environment_match,maintenance,memory_slots,memory_retrieved,retrieval_similarity,retrieval_age,witness_recoveries_total,reward_baseline,policy_norm,policy_change_norm,recall_step_norm,exploration_step_norm,chosen_probe,probe_count,base_probe_reward,explore_probe_reward,spectral_novelty,spectral_mismatch,mean_resource_after_forcing,policy_formation_drive,effective_formation_drive,policy_neighbor_scale,effective_neighbor_scale,policy_resource_blend,effective_resource_blend,policy_topology_blend,effective_topology_blend,policy_export_cost,effective_export_cost
0,learning_rich,0.6088858354802451,0.64432774518557,0.5832210043143201,0.4532304097651422,0,False,0.0,-1,0,0.6088858354802451,0.0,0.0,0.0,0.08493742214509879,fixed_control,1,0.6088858354802451,,True,0.0012278879694936004,0.347191551841543,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
1,learning_rich,0.6277618664229745,0.6892706760015924,0.5832210043143201,0.5216360481004487,0,False,0.0,-1,0,0.6111509591933727,0.0,0.0,0.0,0.07657457333549145,fixed_control,1,0.6277618664229745,,True,0.002014006582194094,0.45311196420460903,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
2,learning_rich,0.6392082737229969,0.7165240267159316,0.5832210043143201,0.5596033120635221,0,False,0.0,-1,0,0.6145178369369275,0.0,0.0,0.0,0.03678545010537633,fixed_control,1,0.6392082737229969,,True,0.002515656957865942,0.5197658240410356,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
3,learning_rich,0.6462496615795208,0.7332892358981312,0.5832210043143201,0.5830755965678612,0,False,0.0,-1,0,0.6183256558940387,0.0,0.0,0.0,0.07818818474791468,fixed_control,1,0.6462496615795208,,True,0.002466085963989328,0.557577111380307,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
4,learning_rich,0.6522389534314779,0.7475494545932669,0.5832210043143201,0.6055341145985527,0,False,0.0,-1,0,0.6223952515985314,0.0,0.0,0.0,0.03882486120280215,fixed_control,1,0.6522389534314779,,True,0.0020688781852215444,0.5812132444693742,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
5,learning_rich,0.6555240132458606,0.7553710255798926,0.5832210043143201,0.6144358386314049,0,False,0.0,-1,0,0.6263707029962109,0.0,0.0,0.0,0.06972922605402859,fixed_control,1,0.6555240132458606,,True,0.0017325401290154883,0.6042888627106268,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
6,learning_rich,0.6573467839090373,0.7597109557303134,0.5832210043143201,0.612732497388385,0,False,0.0,-1,0,0.6300878327057501,0.0,0.0,0.0,0.11,fixed_control,1,0.6573467839090373,,True,0.0017248194780415107,0.6137467409700328,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
7,learning_rich,0.6576987936731435,0.7605490742162806,0.5832210043143201,0.6047899686960678,0,False,0.0,-1,0,0.6334011480218373,0.0,0.0,0.0,0.04825775808577233,fixed_control,1,0.6576987936731435,,True,0.0017091841642809477,0.6126488011371044,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
8,learning_rich,0.6569480141299078,0.7587615038752432,0.5832210043143201,0.5930416498975689,0,False,0.0,-1,0,0.6362267719548058,0.0,0.0,0.0,0.06673029710331999,fixed_control,1,0.6569480141299078,,True,0.001621918721301297,0.6053982283761606,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
9,learning_rich,0.6558847076281236,0.7562298217281379,0.5832210043143201,0.5789998831140529,0,False,0.0,-1,0,0.638585724235604,0.0,0.0,0.0,0.08227407845536479,fixed_control,1,0.6558847076281236,,True,0.0016483985062019444,0.5944552110980624,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
10,learning_poor,0.4426508825045119,0.7313340055045502,0.2336044830906911,0.5241863229038638,0,False,0.0,-1,0,0.615073543227873,0.0,0.0,0.0,0.0912031924073114,fixed_control,1,0.4426508825045119,,True,0.0014038008051592693,0.5254747876822019,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
11,learning_poor,0.4309698681172983,0.703522066487375,0.2336044830906911,0.47569571808435607,0,False,0.0,-1,0,0.592981102214604,0.0,0.0,0.0,0.11,fixed_control,1,0.4309698681172983,,True,0.0014229698835782057,0.47683648607273393,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
12,learning_poor,0.43332392242203766,0.7091269576891353,0.2336044830906911,0.46416604838600783,0,False,0.0,-1,0,0.5738222406394959,0.0,0.0,0.0,0.08226081652759616,fixed_control,1,0.43332392242203766,,True,0.0014286955880714158,0.4427769825501544,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
13,learning_poor,0.42908457065715966,0.6990332630108544,0.2336044830906911,0.4515066129477801,0,False,0.0,-1,0,0.5564537202416155,0.0,0.0,0.0,0.08152635174645158,fixed_control,1,0.42908457065715966,,True,0.001297654408482439,0.4234851477186489,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
14,learning_poor,0.4258552943714715,0.6913445099496922,0.2336044830906911,0.4440416084688641,0,False,0.0,-1,0,0.5407819091371983,0.0,0.0,0.0,0.08317246853607235,fixed_control,1,0.4258552943714715,,True,0.0011083174269459696,0.41244030635302603,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
15,learning_poor,0.42321767583893366,0.6850644658246019,0.2336044830906911,0.43997905966203976,0,False,0.0,-1,0,0.5266742011414065,0.0,0.0,0.0,0.042506826925473584,fixed_control,1,0.42321767583893366,,True,0.0009232141846294364,0.40618116884465133,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
16,learning_poor,0.4214712338497064,0.6809062706121563,0.2336044830906911,0.43806235845547475,0,False,0.0,-1,0,0.5140498450664025,0.0,0.0,0.0,0.04926724119209075,fixed_control,1,0.4214712338497064,,True,0.0008299348387075578,0.4029945768045491,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
17,learning_poor,0.42011686582063346,0.677681584828649,0.2336044830906911,0.43782265492581346,0,False,0.0,-1,0,0.5027778875569102,0.0,0.0,0.0,0.10114187693484061,fixed_control,1,0.42011686582063346,,True,0.0006953689232311382,0.40174315461347687,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
18,learning_poor,0.418561420899765,0.6739781445408671,0.2336044830906911,0.43852180003704727,0,False,0.0,-1,0,0.4926719115580528,0.0,0.0,0.0,0.05215050671181041,fixed_control,1,0.418561420899765,,True,0.0006327334926279378,0.4019894047020267,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
19,learning_poor,0.41791264247937066,0.6724334340161185,0.2336044830906911,0.4411243729676928,0,False,0.0,-1,0,0.4837007992686109,0.0,0.0,0.0,0.11,fixed_control,1,0.41791264247937066,,True,0.000487959097207407,0.4030490501287611,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
20,learning_rich,0.6268060778294964,0.6869949888742637,0.5832210043143201,0.4727935285872604,0,False,0.0,-1,0,0.5008734326959172,0.0,0.0,0.0,0.03120435634677703,fixed_control,1,0.6268060778294964,,True,0.0005487187922119922,0.44876359630892954,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
21,learning_rich,0.6311501104369086,0.6973379236538164,0.5832210043143201,0.4953866564163087,0,False,0.0,-1,0,0.5165066340248362,0.0,0.0,0.0,0.08765134713489395,fixed_control,1,0.6311501104369086,,True,0.0005777920767851325,0.4812650084721426,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
22,learning_rich,0.6338878616102184,0.7038563788283634,0.5832210043143201,0.5122202268157846,0,False,0.0,-1,0,0.530592381335082,0.0,0.0,0.0,0.06710024655906029,fixed_control,1,0.6338878616102184,,True,0.0005832145724999846,0.5045423721906371,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
23,learning_rich,0.6363358050888495,0.7096848156822472,0.5832210043143201,0.5250002242463531,0,False,0.0,-1,0,0.5432815921855341,0.0,0.0,0.0,0.06173976950025435,fixed_control,1,0.6363358050888495,,True,0.000567992008981141,0.5219136798782428,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
24,learning_rich,0.6389615306910339,0.7159365433064958,0.5832210043143201,0.5388229009765934,0,False,0.0,-1,0,0.554763184806194,0.0,0.0,0.0,0.11,fixed_control,1,0.6389615306910339,,True,0.00047650898317640026,0.5351017532098604,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
25,learning_rich,0.6429861984061328,0.7255190854853026,0.5832210043143201,0.5600822851894677,0,False,0.0,-1,0,0.5653499464381866,0.0,0.0,0.0,0.03799735700078368,fixed_control,1,0.6429861984061328,,True,0.00027148136362293803,0.5490236777527223,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
26,learning_rich,0.6472583672372968,0.7356909160356931,0.5832210043143201,0.5799172337752261,0,False,0.0,-1,0,0.5751789569340798,0.0,0.0,0.0,0.05391431776843823,fixed_control,1,0.6472583672372968,,True,0.0001901479434892659,0.5699600946707515,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
27,learning_rich,0.6503689727720467,0.7430971196898595,0.5832210043143201,0.5934610210131246,0,False,0.0,-1,0,0.5842017588346359,0.0,0.0,0.0,0.03753252144023101,fixed_control,1,0.6503689727720467,,True,0.00021151344617318437,0.5898248838672168,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
28,learning_rich,0.6523505961615754,0.747815270617309,0.5832210043143201,0.6021459575520862,0,False,0.0,-1,0,0.5923796193138686,0.0,0.0,0.0,0.05924706347916042,fixed_control,1,0.6523505961615754,,True,0.0002278576884583218,0.6037271817910653,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
