seed,mode,summary
100,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 100, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
101,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 101, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
102,evolution,"{""core_steps"": 15, ""final_population"": 2, ""fission_events"": 1, ""frames"": 13, ""initial_seed"": 102, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 1, ""max_population"": 2, ""mutation_events"": 2, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 15, ""successful_reclosures"": 15, ""unit_birth_events"": 3}"
103,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 103, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
104,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 104, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
105,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 105, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
106,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 106, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
107,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 107, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
108,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 108, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
109,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 109, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
110,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 110, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
111,evolution,"{""core_steps"": 12, ""final_population"": 1, ""fission_events"": 0, ""frames"": 13, ""initial_seed"": 111, ""intrinsic_deaths"": 0, ""max_lineage_depth"": 0, ""max_population"": 1, ""mutation_events"": 0, ""selection_deaths"": 0, ""spectrally_novel_reclosures"": 12, ""successful_reclosures"": 12, ""unit_birth_events"": 1}"
