generation,environment,reward,maintenance,environment_match,world_coherent,organism_coherent,world_self_distance,world_self_corridor,self_mediator_strength,self_reference_reachable,organism_recurrent_coupling,policy_to_self_coupling,recurrent_rho,self_model_closure,self_model_action_used,self_model_action_intervention,action_source,chosen_candidate_index,candidate_count,prediction_error,persistence_baseline_error,policy_change_norm,memory_slots,mean_resource,retained_fraction,export_fraction,self_model_excess_export_norm,self_model_excess_exports_total
0,self_world_A,0.6723468710772151,0.453682564183663,0.6983615913542266,True,True,0.8000148063129151,True,0.5370833528753102,False,0.34097174496900867,0.03188202361874559,0.3310165644861601,False,False,False,model_free,1,2,,,0.08790063185339772,1,0.4595438387067297,0.9404076160249328,0.05959238397506723,0.0,0
1,self_world_A,0.6939195899157453,0.5228872680625305,0.6983615913542266,True,True,0.9316901029647023,True,0.5944622975511545,False,0.5361786269563408,0.03224679774668416,0.3168333760811647,False,False,False,model_free,0,2,,,0.0,1,0.5279062633384168,0.9541865862480418,0.04581341375195818,0.0,0
2,self_world_A,0.706868917639601,0.5610196935502536,0.6983615913542266,True,True,0.9347005704332347,True,0.6027248509234636,False,0.6723349868289439,0.031004663585304706,0.4766443666097037,False,False,False,model_free,0,2,,,9.81547334535603e-18,1,0.5663671827715948,0.9594652204915591,0.04053477950844076,0.0,0
3,self_world_A,0.6772863208769527,0.5873968099234522,0.6253047951411705,True,True,0.9383947352086527,True,0.6066985686160271,False,0.7109831590776293,0.38527646598496385,0.5043704812626236,False,False,False,model_free,1,2,,,0.06895249710851147,1,0.5932186681087965,0.9632742213389472,0.03672577866105278,0.0,0
4,self_world_A,0.7220816798935632,0.6124279794277593,0.6983615913542266,True,True,0.9429292048831296,True,0.6095050645883583,False,0.8442353031991003,0.42483398871264894,0.6356278272712512,False,False,False,model_free,0,2,,,0.06895249710851147,1,0.6190405100276105,0.966617352177186,0.03338264782281404,0.0,0
5,self_world_A,0.7269747492521363,0.622707582857774,0.6983615913542266,True,True,0.9483361464926172,True,0.6121171100182325,False,0.8467610357989566,0.4694664881635952,0.6549279440461999,False,False,False,model_free,0,2,,,6.505213034913027e-19,1,0.6299319884234132,0.9676841868331075,0.03231581316689253,0.0,0
6,self_world_A,0.7248614449804037,0.6223612650903925,0.6901579910734034,True,True,0.9506425665423202,True,0.6131266926022118,False,0.8510044586169518,0.6825061918086818,0.655493585878347,False,False,False,model_free,1,2,,,0.06597093226652587,1,0.6300906768518494,0.9675120818442742,0.032487918155726,0.0,0
7,self_world_A,0.7297345937252299,0.6155431535623886,0.6983615913542266,True,True,0.9504278128625534,True,0.613091147543206,False,0.8398663852753792,0.6841878076551386,0.5925621293582755,False,False,False,model_free,0,2,,,0.06597093226652587,1,0.6237807462221293,0.9664223539740048,0.03357764602599533,0.0,0
8,self_world_B,0.7902905996510803,0.5760542426575017,0.8309251736785285,True,True,0.9141161691512198,True,0.3632059517955198,False,0.8894322247886174,0.6854596680393767,0.5940368824704905,False,False,False,model_free,0,2,,,0.0,2,0.5845043218955126,0.9611861518321035,0.03881384816789637,0.0,0
9,self_world_B,0.7809062258597328,0.5451997439687895,0.8229746290433981,True,True,0.8912015377492793,True,0.3645381443236208,False,1.1181220341105744,0.7441904269239228,0.7465499393044905,False,False,False,model_free,1,2,,,0.07046553989952854,2,0.5539808550579796,0.9564153847341146,0.0435846152658852,0.0,0
10,self_world_B,0.7813204751711116,0.5197647648377892,0.8309251736785285,True,True,0.8747392078379281,True,0.3654367226960125,False,1.217236316820767,0.6866529817989823,0.8986947369906007,False,False,False,model_free,0,2,,,0.07046553989952854,2,0.5288059007995612,0.9520663196957742,0.047933680304225845,0.0,0
11,self_world_B,0.7798420343301794,0.5035948571433425,0.8309251736785285,True,True,0.8621870085670329,True,0.36609966575831726,False,1.232382465312814,0.689903764787278,0.9143646896766701,False,False,False,model_free,0,2,,,3.529906531158615e-18,2,0.5125898744231661,0.9493138232961098,0.05068617670389004,0.0,0
12,self_world_B,0.7752863436430462,0.4929386131065948,0.8226641268669375,True,True,0.8548895789567024,True,0.36655420819898954,False,1.234580466683547,0.7173922693541104,0.9159352589279524,False,False,False,model_free,1,2,0.007616884939703385,0.00734621592541971,0.061647643263695796,2,0.5017723440477556,0.9476538194079394,0.052346180592060504,0.0,0
13,self_world_B,0.7770403180837189,0.4873360545369065,0.8309251736785285,True,True,0.8505262466534244,True,0.3669130237979847,False,1.2372876777239394,0.7177499704977381,0.9187442701791151,False,False,False,model_free,0,2,0.008898864971810192,0.005330979168990189,0.061647643263695796,2,0.4961961914789255,0.9468286557177092,0.05317134428229068,0.0,0
14,self_world_B,0.7752991834938645,0.48432541312035243,0.8309251736785285,True,True,0.8483913256506598,True,0.36711432539455047,False,1.2389862055558276,0.7184493803005336,0.9205827099226884,False,False,False,model_free,0,2,0.00820779502020876,0.0016159769117618404,3.529906531158615e-18,2,0.49330755038890434,0.9464237990801654,0.05357620091983478,0.0,0
15,self_world_B,0.7330969086821489,0.48174134192600965,0.751941116621973,True,True,0.8473208914073133,True,0.36723056121392905,False,1.2420170011542953,1.0322454841304873,0.9211342662381427,False,False,False,model_free,1,2,0.02683604098247059,0.0249844026653714,0.09467587796505594,2,0.4907466970982051,0.946010818162314,0.053989181837685744,0.0,0
16,self_world_C,0.47084493920701065,0.4693429091976152,0.25442727069663024,True,True,0.7947770068627645,True,0.2164602930990211,False,1.2459998657104332,1.0979398483473248,0.9284079991299754,False,False,False,model_free,0,2,0.01435355463002971,0.006845495005777646,0.0,3,0.4782412882662565,0.9441807291942292,0.05581927080577085,0.0,0
17,self_world_C,0.4690563958526768,0.4627807597834404,0.25442727069663024,True,True,0.7877708448868044,True,0.2173918544304576,False,1.2863278229635526,1.092719543949921,0.9500540534963755,False,False,False,model_free,0,2,0.007274094023316106,0.00360989585857198,0.0,3,0.47166148042499495,0.9430925668393791,0.05690743316062084,0.0,0
18,self_world_C,0.4560155778822538,0.4603877277505262,0.23044176188972249,True,True,0.7840921649597652,True,0.21786943557370478,False,1.2878752632989872,1.1419638222303385,0.9501697472700819,False,False,False,model_free,1,2,0.007725839952821778,0.004805259604216341,0.10248486079920512,3,0.4693086088910737,0.9428883566794833,0.05711164332051673,0.0,0
19,self_world_C,0.46855072020332555,0.46203827035161726,0.25442727069663024,True,True,0.7829686738484878,True,0.21809539397950925,False,1.3007863151067505,1.1417425541037662,0.9537929415305152,False,False,False,model_free,0,2,0.006585997485874121,0.004728209183776502,0.10248486079920512,3,0.4710157235388433,0.9435166863401796,0.056483313659820504,0.0,0
20,self_world_C,0.4700345285769051,0.46923608856716476,0.25442727069663024,True,True,0.7842275352687894,True,0.21806441363931592,False,1.3132494603720821,1.1431020409031623,0.9557037028085331,False,False,False,model_free,0,2,0.006750996668163872,0.004002174015991811,0.0,3,0.47833358924493824,0.9451528048322797,0.05484719516772024,0.0,0
21,self_world_C,0.48560305172118656,0.48161763569657556,0.2778192572482286,True,True,0.7886995908178782,True,0.21765303945944584,False,1.306985110210585,1.1777407578399697,0.9562530673446314,False,False,False,model_free,1,2,0.00848093387200466,0.007160894055782842,0.07426790031742415,3,0.49114699180760796,0.9473741828036031,0.05262581719639681,0.0,0
22,self_world_C,0.47996253707964565,0.48811918660416226,0.26362230190766905,True,True,0.796137001163136,True,0.21681254623535334,False,1.3109298880185272,1.1832200099613999,0.9569426391453435,False,False,False,model_free,0,2,0.004762689627706894,0.004426064154433205,0.04604609819680298,3,0.4979644909840661,0.948470172258121,0.051529827741878906,0.0,0
23,self_world_C,0.4808804270245068,0.49194929001946663,0.26362230190766905,True,True,0.8001298427656733,True,0.21636690780346376,False,1.3132386560166625,1.188491299026756,0.9577954967762441,False,False,False,model_free,0,2,0.002417912726874653,0.0024403919159789373,0.0,3,0.5021177985678102,0.9490538073026082,0.05094619269739166,0.0,0
