active_native_radius,active_rank,carrier_id,identity_retained_mass,identity_terminal,identity_transport_residual,persistent_native_radius,persistent_rank,state_index
2.389164060411037e-10,4,annual-sunspots,1.0,False,5.896307453335804e-16,9.999999717180685e-09,4,0
2.378074548757848e-10,4,annual-sunspots,1.0,False,6.52497142746056e-16,1.0000000272292198e-08,4,1
2.38015889018433e-10,4,annual-sunspots,1.0,False,8.785375965870653e-16,9.999999606158383e-09,4,2
2.321415716659649e-10,4,annual-sunspots,1.0,False,7.847948374866597e-16,1.0000000050247593e-08,4,3
2.0904208138119007e-10,4,annual-sunspots,1.0,False,7.386521996140682e-16,9.99999949513608e-09,4,4
1.919607459419314e-10,4,annual-sunspots,1.0,False,1.165011401099699e-15,9.999999828202988e-09,4,5
1.8895966264928468e-10,4,annual-sunspots,1.0,False,7.903721546458499e-16,9.99999949513608e-09,4,6
2.019648551404913e-10,4,annual-sunspots,0.9999999999999997,False,1.4081635375180779e-15,1.0000000272292198e-08,4,7
2.489938279777872e-10,4,annual-sunspots,0.9999999999999997,False,1.1136210962798623e-15,1.0000000272292198e-08,4,8
2.573545097566137e-10,4,annual-sunspots,1.0,False,1.0575555694625554e-15,9.999999606158383e-09,4,9
2.5857829719477533e-10,4,annual-sunspots,1.0,False,8.240017949974095e-16,9.999998717979963e-09,4,10
2.4927358231656664e-10,4,annual-sunspots,1.0,False,1.6403174813732604e-15,9.99999905104687e-09,4,11
2.1684724766140307e-10,4,annual-sunspots,1.0,False,1.3649944725705446e-15,9.999999384113778e-09,4,12
2.1066751623836576e-10,4,annual-sunspots,0.9999999999999998,False,8.68482383639705e-16,9.999999384113778e-09,4,13
2.188189501345618e-10,4,annual-sunspots,1.0,False,6.500576567761997e-16,9.99999993922529e-09,4,14
1.96593500425679e-10,4,annual-sunspots,0.9999999999999998,False,9.999515962586017e-16,9.999999162069173e-09,4,15
1.3444560967146578e-10,4,annual-sunspots,1.0,False,6.118294696967083e-16,9.999999384113778e-09,4,16
1.300113693181524e-10,4,annual-sunspots,1.0,False,7.943779048127916e-16,9.999999828202988e-09,4,17
1.454702464130884e-10,4,annual-sunspots,1.0,False,8.352318627803964e-16,9.99999949513608e-09,4,18
1.4363908496657918e-10,4,annual-sunspots,1.0,False,1.030809068390387e-15,9.99999993922529e-09,4,19
1.5285656345591064e-10,4,annual-sunspots,1.0,False,7.682619309434508e-16,9.999999384113778e-09,4,20
1.454455298681311e-10,4,annual-sunspots,0.9999999999999997,False,6.131105234262112e-16,1.0000000494336803e-08,4,21
1.5953389268944407e-10,4,annual-sunspots,0.9999999999999991,False,1.0269028076112015e-15,9.99999905104687e-09,4,22
1.4903600614013377e-10,4,annual-sunspots,1.0,False,6.745303256486434e-16,9.99999949513608e-09,4,23
1.4178737607442557e-10,4,annual-sunspots,1.0,False,1.0236838687832525e-15,1.0000000272292198e-08,4,24
1.2276799153642985e-10,4,annual-sunspots,1.0,False,8.011152659589501e-16,1.0000000050247593e-08,4,25
1.3002409498658344e-10,4,annual-sunspots,0.9999999999999999,False,5.737200622551612e-16,9.999999384113778e-09,4,26
1.2808981775861218e-10,4,annual-sunspots,0.9999999999999996,False,1.0729158709950998e-15,9.999999384113778e-09,4,27
1.577890249335274e-10,4,annual-sunspots,0.9999999999999987,False,1.1968360497409326e-15,1.0000000050247593e-08,4,28
1.792203877410788e-10,4,annual-sunspots,0.9999999999999996,False,6.667422916736244e-16,9.999999828202988e-09,4,29
1.9126776742273074e-10,4,annual-sunspots,1.0,False,1.0509087335654497e-15,9.999999717180685e-09,4,30
1.844105163040274e-10,4,annual-sunspots,0.9999999999999999,False,7.189495337777566e-16,9.99999905104687e-09,4,31
1.9821765893896678e-10,4,annual-sunspots,0.9999999999999988,False,1.2431178464290217e-15,9.99999949513608e-09,4,32
1.8641507832157239e-10,4,annual-sunspots,1.0,False,8.25227227482891e-16,1.0000000050247593e-08,4,33
1.8240678921514683e-10,4,annual-sunspots,1.0,False,1.442820235826153e-15,9.999999828202988e-09,4,34
1.8575292710056758e-10,4,annual-sunspots,0.9999999999999989,False,7.403525308467773e-16,9.999999273091476e-09,4,35
1.9782603391050136e-10,4,annual-sunspots,1.0,False,7.440404388578246e-16,9.999999384113778e-09,4,36
1.546195896724641e-10,4,annual-sunspots,0.9999999999999993,False,9.134086929221146e-16,1.0000000272292198e-08,4,37
1.3472303514857906e-10,4,annual-sunspots,0.9999999999999993,False,9.303835490033327e-16,9.999999828202988e-09,4,38
1.4187315752716937e-10,4,annual-sunspots,0.9999999999999998,False,1.240971202674623e-15,9.999998162868451e-09,4,39
1.8085013640920607e-10,4,annual-sunspots,0.9999999999999993,False,1.3416554996231844e-15,9.999999717180685e-09,4,40
2.1683042663182195e-10,4,annual-sunspots,0.9999999999999994,False,8.782449572272225e-16,9.999999606158383e-09,4,41
2.340319524671819e-10,4,annual-sunspots,0.9999999999999999,False,8.103179825647081e-16,9.999999273091476e-09,4,42
2.2147272354099785e-10,4,annual-sunspots,1.0,False,8.21567832573041e-16,9.999999828202988e-09,4,43
2.0494855735196942e-10,4,annual-sunspots,1.0,False,8.385436901376208e-16,9.999999717180685e-09,4,44
2.033869926081988e-10,4,annual-sunspots,1.0,False,1.0222917309753673e-15,1.0000000050247593e-08,4,45
2.1452120016479606e-10,4,annual-sunspots,1.0,False,8.799526735907367e-16,9.999999606158383e-09,4,46
1.9618464815327104e-10,4,annual-sunspots,0.9999999999999993,False,8.570612303455252e-16,9.999999606158383e-09,4,47
2.0655719985875268e-10,4,annual-sunspots,1.0,False,8.284245393718957e-16,9.99999993922529e-09,4,48
1.8027785488305797e-10,4,annual-sunspots,0.9999999999999996,False,6.136341834119779e-16,9.999998829002266e-09,4,49
1.7663206943755555e-10,4,annual-sunspots,1.0,False,8.35322040814115e-16,9.999998940024568e-09,4,50
1.8244044985656384e-10,4,annual-sunspots,0.9999999999999992,False,1.5891164728577105e-15,9.999999384113778e-09,4,51
1.956817093700357e-10,4,annual-sunspots,1.0,False,1.1372769498345612e-15,1.0000000050247593e-08,4,52
2.2532131782022897e-10,4,annual-sunspots,1.0,False,9.018819224338026e-16,9.99999949513608e-09,4,53
2.1341587945234375e-10,4,annual-sunspots,1.0,False,8.512951692410265e-16,9.999998829002266e-09,4,54
1.980748230598057e-10,4,annual-sunspots,0.9999999999999993,False,7.745763769267688e-16,9.999999828202988e-09,4,55
2.052666139378792e-10,4,annual-sunspots,1.0,False,1.6223998702250702e-15,9.999999606158383e-09,4,56
1.7884671043434306e-10,4,annual-sunspots,0.9999999999999992,False,9.61631492664065e-16,1.0000000272292198e-08,4,57
1.4883781584939456e-10,4,annual-sunspots,0.9999999999999998,False,1.7484587318921188e-15,9.999999384113778e-09,4,58
1.321050554479767e-10,4,annual-sunspots,1.0,False,8.00965357393095e-16,1.0000000716381408e-08,4,59
1.632338887553988e-10,4,annual-sunspots,0.9999999999999998,False,6.80785634910009e-16,9.99999860695766e-09,4,60
1.6977835104814707e-10,4,annual-sunspots,1.0,False,1.1515724898355726e-15,9.999999162069173e-09,4,61
1.747777971376698e-10,4,annual-sunspots,0.9999999999999998,False,6.609606095684585e-16,9.999998829002266e-09,4,62
1.9910036973726684e-10,4,annual-sunspots,0.9999999999999992,False,9.13740074925684e-16,9.99999860695766e-09,4,63
1.8165817836469568e-10,4,annual-sunspots,1.0,False,1.0556598750840079e-15,9.999998940024568e-09,4,64
1.9341723024427988e-10,4,annual-sunspots,0.9999999999999993,False,7.411035216244196e-16,9.999999273091476e-09,4,65
1.055373119226082e-10,4,annual-sunspots,1.0,False,1.1603024738912127e-15,9.999999717180685e-09,4,66
9.999949149242282e-11,4,annual-sunspots,0.9999999999999999,False,1.1987514454157543e-15,9.999999273091476e-09,4,67
9.999924466529659e-11,4,annual-sunspots,0.9999999999999993,False,1.5090710897745091e-15,9.99999993922529e-09,4,68
9.999934620069161e-11,4,annual-sunspots,0.9999999999999992,False,7.534949588608862e-16,9.999999828202988e-09,4,69
9.999927906724492e-11,4,annual-sunspots,1.0,False,1.3073507486078022e-15,9.999998162868451e-09,4,70
1.0615674811335777e-10,4,annual-sunspots,1.0,False,8.629341996946072e-16,9.999999384113778e-09,4,71
1.1270058719883062e-10,4,annual-sunspots,1.0,False,7.997961392904174e-16,1.0000000050247593e-08,4,72
1.1567783870548411e-10,4,annual-sunspots,1.0,False,1.5505605102134677e-15,9.999998717979963e-09,4,73
1.0665110435818719e-10,4,annual-sunspots,0.9999999999999996,False,6.285727077938807e-16,9.999999828202988e-09,4,74
1.0060526957273549e-10,4,annual-sunspots,1.0,False,6.736245548067163e-16,1.0000000050247593e-08,4,75
9.999934339030473e-11,4,annual-sunspots,1.0,False,8.239439410479623e-16,9.99999860695766e-09,4,76
9.999931873374401e-11,4,annual-sunspots,1.0,False,1.05870406701901e-15,9.999999273091476e-09,4,77
1.017922195289087e-10,4,annual-sunspots,1.0,False,1.1214817051119562e-15,9.999999384113778e-09,4,78
1.2945564391456672e-10,4,annual-sunspots,1.0,False,8.039109434846804e-16,9.99999905104687e-09,4,79
1.2052540148333897e-10,4,annual-sunspots,1.0,False,9.63302930153116e-16,9.999999162069173e-09,4,80
1.4086586573374613e-10,4,annual-sunspots,0.9999999999999998,False,6.356069579811696e-16,9.99999993922529e-09,4,81
1.8659311087411587e-10,4,annual-sunspots,0.9999999999999987,False,7.660250133924503e-16,9.999999606158383e-09,4,82
1.5948580076685721e-10,4,annual-sunspots,1.0,False,8.929375550147228e-16,1.0000000938426012e-08,4,83
1.1566969512612488e-10,4,annual-sunspots,1.0,False,8.912821235116216e-16,1.0000000050247593e-08,4,84
1.2534511704530952e-10,4,annual-sunspots,1.0,False,7.655335339643928e-16,9.999999717180685e-09,4,85
1.553398436062535e-10,4,annual-sunspots,1.0,False,5.501903849003984e-16,9.99999949513608e-09,4,86
1.6537881406224247e-10,4,annual-sunspots,0.9999999999999999,False,9.706410771292414e-16,9.999999717180685e-09,4,87
1.414102006490024e-10,4,annual-sunspots,0.9999999999999996,False,9.068517641652505e-16,9.999999384113778e-09,4,88
1.6727696178781898e-10,4,annual-sunspots,1.0,False,7.908418785624368e-16,9.999999606158383e-09,4,89
1.9198981365657662e-10,4,annual-sunspots,1.0,False,7.376394463836912e-16,1.0000000272292198e-08,4,90
1.9763529677702938e-10,4,annual-sunspots,0.9999999999999993,False,8.736656665816169e-16,9.999998051846148e-09,4,91
2.1119995674893797e-10,4,annual-sunspots,0.9999999999999993,False,1.2733994312987755e-15,1.0000000050247593e-08,4,92
2.194700430417609e-10,4,annual-sunspots,0.999999999999999,False,1.3270933070922153e-15,9.999999717180685e-09,4,93
2.3168273474232833e-10,4,annual-sunspots,1.0,False,6.295285633794608e-16,9.999999828202988e-09,4,94
2.2407594931169584e-10,4,annual-sunspots,1.0,False,7.762614097975631e-16,9.999999717180685e-09,4,95
2.258035464089161e-10,4,annual-sunspots,1.0,False,5.198561430934078e-16,9.99999905104687e-09,4,96
2.203089899095302e-10,4,annual-sunspots,1.0,False,7.534287904588992e-16,9.999999384113778e-09,4,97
2.169560638486049e-10,4,annual-sunspots,0.9999999999999991,False,7.288899628371906e-16,9.999999606158383e-09,4,98
2.197227646209729e-10,4,annual-sunspots,1.0,False,7.649394536458977e-16,9.99999949513608e-09,4,99
2.2519856207918377e-10,4,annual-sunspots,1.0,False,7.891787352976658e-16,9.999998940024568e-09,4,100
2.3815469758657783e-10,4,annual-sunspots,0.9999999999999996,False,8.356700795712297e-16,1.0000000272292198e-08,4,101
2.2881400392861775e-10,4,annual-sunspots,0.9999999999999999,False,8.973008712908504e-16,9.999999717180685e-09,4,102
2.1871750911975494e-10,4,annual-sunspots,1.0,False,7.957562621638504e-16,9.999999828202988e-09,4,103
2.0133193641009443e-10,4,annual-sunspots,1.0,False,4.649926064816603e-16,1.0000000494336803e-08,4,104
