formation_drive_relative_change,neighbor_scale_relative_change,successful_reclosures,attempted_steps,survived
-0.05,-0.05,12,12,True
-0.05,-0.025,12,12,True
-0.05,0.0,12,12,True
-0.05,0.025,12,12,True
-0.05,0.05,12,12,True
-0.025,-0.05,12,12,True
-0.025,-0.025,12,12,True
-0.025,0.0,12,12,True
-0.025,0.025,12,12,True
-0.025,0.05,12,12,True
0.0,-0.05,12,12,True
0.0,-0.025,12,12,True
0.0,0.0,12,12,True
0.0,0.025,12,12,True
0.0,0.05,12,12,True
0.025,-0.05,12,12,True
0.025,-0.025,12,12,True
0.025,0.0,12,12,True
0.025,0.025,12,12,True
0.025,0.05,12,12,True
0.05,-0.05,12,12,True
0.05,-0.025,12,12,True
0.05,0.0,12,12,True
0.05,0.025,12,12,True
0.05,0.05,12,12,True
