generation,environment,reward,maintenance,environment_match,active_self_representations,multiplicity_unity_distance,representation_diversity,standpoint_persistence,perspective_rho,perspective_closure,perspective_failure,perspective_exports_this_step,perspective_exports_total,here_norm,action_source,chosen_candidate_index,policy_change_norm,self_reference_reachable,self_recurrent_coupling,policy_to_self_coupling,standpoint_0,standpoint_1,standpoint_2,standpoint_3,standpoint_4,standpoint_5,standpoint_6
0,perspective_A,0.7026065271228672,0.4441902650091363,0.7651692928155406,4,0.2571353534437986,0.17147631243164652,0.9935367430481831,0.985,True,,1,1,0.9473778675567037,model_free,1,0.10859986624934463,False,0.340112838417238,0.03929052268259064,0.3567398790031017,0.17860627862049167,0.32410519562478,0.7548431931902055,0.2517477456612733,0.008971807625091298,0.008451922167250893
1,perspective_A,0.7242409680574857,0.5097487911897239,0.7651692928155406,5,0.3478916500613352,0.22282992211232444,0.9928887309724995,0.985,True,,0,1,0.9557850082065963,model_free,0,0.0,False,0.5334828893779492,0.03975531371532705,0.3626168139613905,0.18629536973016758,0.3303118356743477,0.756087662000087,0.25662244602248274,0.018889671816973597,0.018485195234121066
2,perspective_A,0.7376176959101761,0.5467304983819737,0.7651692928155406,5,0.35265855402038565,0.22255269923819304,0.9929060253039169,0.985,True,,0,1,0.9645952516557741,model_free,0,0.0,False,0.6692916933194916,0.038177995739035984,0.36869808047038255,0.19394665824072282,0.3367215982542632,0.7573428096303461,0.26136540502889644,0.02868883622708751,0.028388878665808373
3,perspective_A,0.7609355598636953,0.568725832828466,0.7951747473032376,5,0.35524125153151676,0.22288637142213585,0.992956533850125,0.985,True,,0,1,0.9736877007163891,model_free,1,0.09425861318282025,False,0.6852348415897996,0.2537874209349118,0.37484202127517513,0.20159286850319538,0.34318568392808774,0.7585883899001472,0.26601261524216624,0.03835525897474708,0.03814337003830906
4,perspective_A,0.7609819955660728,0.5969864806188829,0.7790403947326865,5,0.36028429279276275,0.22681292559097693,0.9929968087130017,0.985,True,,0,1,0.9830371704398542,model_free,0,0.058440340173348544,False,0.8579443820042004,0.28075337603805045,0.38102081428163675,0.20912774925675334,0.34965082330968156,0.7598336585309181,0.2706689061172479,0.048043572366874156,0.04772916906108235
5,perspective_A,0.7678181334054139,0.6124510938647896,0.7790403947326865,5,0.3577740354578301,0.2264587468682044,0.9930820218305206,0.985,True,,0,1,0.9925895031725144,model_free,0,3.469446951953614e-18,False,0.8911199794997803,0.3144780863291913,0.3872139905353349,0.21661728713928685,0.3561285126966595,0.7610605337107377,0.27524802235611595,0.057476901202989754,0.05718808218429265
6,perspective_A,0.7356414230156791,0.6181063639158586,0.70576816431615,5,0.35914877490159997,0.228071699160941,0.9931622038067354,0.985,True,,0,1,1.002297062716023,model_free,1,0.10298095716600644,False,0.8871157975517432,0.3535955375082732,0.3933696386797514,0.22408873452945244,0.3625579578880547,0.7622738097581943,0.2797421536338163,0.06676981835581518,0.06648648973239074
7,perspective_A,0.7742994494424558,0.6139156468976781,0.7790403947326865,5,0.35482358535499603,0.22662798636552747,0.9932481487396518,0.985,True,,0,1,1.0121055400343155,model_free,0,0.10298095716600644,False,0.8692664040723093,0.36233744605638313,0.39945070856324605,0.23147943912717078,0.3689069029304478,0.7634639404386316,0.2841695532169525,0.07595964032247302,0.07564609404711917
8,perspective_B,0.7880409240165984,0.5798547081943776,0.8202606653133244,4,0.2723991943641132,0.17929764091116618,0.9937140797369398,0.985,True,,1,2,1.0216756165780092,model_free,0,0.0,False,0.9193089515893804,0.3640960309812276,0.40524615939557673,0.2382643258787742,0.3749285535909329,0.7648536071306832,0.2881679959351865,0.08469940356562815,0.08390162891411544
9,perspective_B,0.7784649731493126,0.5510744621574244,0.8113420707097762,5,0.32493686685550227,0.21633326430183292,0.9934174318303055,0.985,True,,0,2,1.0314428349062241,model_free,1,0.0576262242555986,False,1.1638271821119432,0.4755543488530864,0.4109390952908596,0.24523921033874607,0.38091091362545565,0.7659677543265917,0.2925616405414502,0.09355499208571044,0.09336239342359912
