generation,population_size,total_nodes,mean_unit_nodes,min_unit_nodes,max_unit_nodes,mean_resource,mean_maintenance,mean_unit_age
0,1,20,20.0,20,20,0.3912505693732794,0.33739535033602475,0.0
1,1,20,20.0,20,20,0.42602721962591383,0.405118158983356,1.0
2,1,21,21.0,21,21,0.44930104058719506,0.4285352835018607,2.0
3,1,22,22.0,22,22,0.4938920607445372,0.4843521125724845,3.0
4,1,23,23.0,23,23,0.5378526270820867,0.5291942339651605,4.0
5,1,24,24.0,24,24,0.5836821744267855,0.5757606592433133,5.0
6,1,25,25.0,25,25,0.6261693819120344,0.6187995869597032,6.0
7,1,26,26.0,26,26,0.6627814488819772,0.6558867198073189,7.0
8,1,27,27.0,27,27,0.6910989223342925,0.6845209606265007,8.0
9,1,28,28.0,28,28,0.7231102486976418,0.7167472954785464,9.0
10,1,29,29.0,29,29,0.7459369072413771,0.739702598167853,10.0
11,1,30,30.0,30,30,0.770602320107891,0.7644073526522659,11.0
12,1,30,30.0,30,30,0.8202288335296288,0.8165168986688176,12.0
13,1,30,30.0,30,30,0.8550375029086268,0.8522473025213393,13.0
14,1,30,30.0,30,30,0.8779852397299084,0.8755470407109502,14.0
15,1,30,30.0,30,30,0.894803486554243,0.8924679609785263,15.0
16,1,30,30.0,30,30,0.9078449888805168,0.905489155587049,16.0
17,1,30,30.0,30,30,0.9181173325018452,0.915673924359137,17.0
18,1,30,30.0,30,30,0.9235427823213739,0.920980858373274,18.0
19,1,30,30.0,30,30,0.924248882986207,0.9215554238327375,19.0
20,1,30,30.0,30,30,0.9217342159939236,0.9189022619033321,20.0
