generation,success,terminal_reason,persistent_rank,support_rank,lambda_keep,lambda_up,omega_keep,omega_up,formation_eigenvalue,formation_gap,spectral_novelty,spectral_mismatch,commutator_norm,second_moment_loss,crossfed_gain,neutral_partition_residual,reciprocal_balance_residual,PY_commutator_norm,schur_stratum_compatible
0,True,,6,6,0.16800685806521043,0.0019065854982330223,0.0112209220073933,0.9887790779926067,-1.0589414277151745,1.4074092501548647,True,0.0036316503663365077,0.023845366383000693,0.013957973740082785,0.0528080313397055,6.112238331952043e-16,0.0,3.0506370834515595e-15,True
1,True,,6,6,0.9151670245224204,0.003847834314499976,0.004186911971553635,0.9958130880284464,-1.1855581499190333,1.5209499476654686,True,0.004350587917806257,0.022523097622356204,0.018194985580938905,0.0846497136094677,8.334455186351213e-16,4.336808689942018e-19,3.369883284152762e-15,True
2,True,,6,6,0.932832644062322,0.002792458906085797,0.0029845916887290772,0.9970154083112709,-1.2157140469232128,1.5380614421458219,True,0.004257881372530059,0.019359691625326126,0.018464386727870874,0.07264806167507375,7.301517652379721e-16,4.336808689942018e-19,3.0302070132235256e-15,True
3,True,,6,6,0.9284954795875267,0.0023312431226545677,0.0025044866738107335,0.9974955133261894,-1.2144765399763042,1.5261795952200121,True,0.004179846011362272,0.01717099653372171,0.017404373068095502,0.0665173376631184,6.773368226409314e-16,4.336808689942018e-19,2.4457140020078132e-15,True
4,True,,6,6,0.9243039974513751,0.001896746679774151,0.0020478785962901075,0.9979521214037099,-1.2104036860235508,1.5122962901326849,True,0.00356071563634456,0.014459511749408623,0.015118661945581202,0.06012737574558004,6.586836566395346e-16,2.168404344971009e-19,2.3246037110687642e-15,True
5,True,,6,6,0.9246473844534884,0.0015141469995152922,0.0016348627621575156,0.9983651372378426,-1.2086755591928013,1.5017410650846441,True,0.0030751596324976845,0.011809374778779552,0.012537483799627491,0.05384634178198596,7.469666381938744e-16,0.0,2.907155654074578e-15,True
6,True,,6,6,0.9247467852616698,0.0011929161750803344,0.0012883303018861008,0.9987116696981139,-1.208009310059952,1.4933987672799154,True,0.0025698412333749064,0.009307883875846808,0.009691497338105481,0.047902072793025045,6.492385156871125e-16,0.0,2.4500827493252526e-15,True
7,True,,6,6,0.9147504908510354,0.0008920925495470708,0.0009742803204214795,0.9990257196795785,-1.2015611287615586,1.480521772813447,True,0.00117989075161693,0.00560488318353361,0.004651490204177655,0.041514107123279916,8.098212671591471e-16,0.0,2.8647246589251337e-15,True
8,True,,6,6,0.9418480565454788,0.0007049177163622834,0.0007478812709856851,0.9992521187290143,-1.2108798560809761,1.4849161703539149,True,0.0006671294283218804,0.003402941988240084,0.002619331219947618,0.03699040537305823,6.948053429965868e-16,0.0,2.496113991168282e-15,True
9,True,,6,6,0.958402875666388,0.000638382464227363,0.0006656465077130387,0.999334353492287,-1.2220039925556705,1.4922233125302573,True,0.000628124802188132,0.0028575175296533094,0.002318392133112024,0.03523942661739099,7.555614214849057e-16,0.0,2.3819596248075505e-15,True
10,True,,6,6,0.9626002970761395,0.0006071000041247289,0.0006302900143468678,0.9993697099856531,-1.2280541696049814,1.495063728440846,True,0.0006497369763068572,0.002769370212144823,0.0023384255460197068,0.03438030480931334,7.707258901402653e-16,0.0,2.668508396232087e-15,True
11,True,,6,6,0.9635476867960691,0.0005847651412001613,0.0006065195088342578,0.9993934804911657,-1.2307152066405649,1.4949322788665436,True,0.0006917056499806748,0.0027944211224972112,0.0024378170376331276,0.03375090105026772,7.631645427664425e-16,0.0,3.2832740387892873e-15,True
12,True,,6,6,0.9636349582236556,0.0005670487232302156,0.0005881015794872248,0.9994118984205128,-1.2318101398325778,1.4935722623648715,True,0.0006711928774398991,0.0028338387982306955,0.002543640719358198,0.033242071590623555,7.787813710497566e-16,0.0,2.6705538331966526e-15,True
13,True,,6,6,0.9635607616323749,0.0005529497270433367,0.0005735316493566587,0.9994264683506433,-1.2322829397974984,1.4918325143808076,True,0.0007007254184892442,0.0028576303558053608,0.0026258589774075247,0.03283106941474351,7.952602045716112e-16,0.0,3.778562713975686e-15,True
14,True,,6,6,0.9635199196834288,0.000541867982665195,0.0005620676906788394,0.9994379323093212,-1.2325269339536429,1.4900600629789342,True,0.0007156382560263211,0.0028586572746918406,0.0026733698999183986,0.03250423148808023,7.040448050968551e-16,0.0,3.326451002729498e-15,True
15,True,,6,6,0.9635300279335555,0.0005340311874975536,0.0005539374509868517,0.9994460625490132,-1.2326864940895628,1.4883807008115169,True,0.0007193607296225426,0.0028376737011031406,0.002680688224860006,0.0322710564736225,6.397821926573037e-16,1.0842021724855044e-19,2.6984734814427004e-15,True
16,True,,6,6,0.9635855618533871,0.0005286960648938495,0.0005483749053098872,0.9994516250946902,-1.232815671251114,1.4868364595951449,True,0.0007138867950681138,0.002798805550449896,0.00265288607684111,0.032111361174259265,7.553376274970001e-16,0.0,2.8533859739387454e-15,True
17,True,,6,6,0.9636826083644382,0.0005249376968191066,0.0005444239665655517,0.9994555760334344,-1.2329354433785724,1.4854376268439247,True,0.0007016132409590726,0.002747002947566084,0.002599032213321806,0.03199843138677416,6.77421064262811e-16,1.0842021724855044e-19,2.7737588960627117e-15,True
