generation,population_size,total_nodes,mean_unit_nodes,mean_fitness,max_fitness,mean_age,mean_lineage_depth,max_lineage_depth
0,1,24,24.0,0.544850150056038,0.544850150056038,0.0,0.0,0
1,1,24,24.0,0.6525494307251887,0.6525494307251887,1.0,0.0,0
2,1,24,24.0,0.6996940323668227,0.6996940323668227,2.0,0.0,0
3,1,24,24.0,0.7309499356408387,0.7309499356408387,3.0,0.0,0
4,1,24,24.0,0.7542740373899551,0.7542740373899551,4.0,0.0,0
5,1,24,24.0,0.7665841447159331,0.7665841447159331,5.0,0.0,0
6,1,25,25.0,0.7580015470667532,0.7580015470667532,6.0,0.0,0
7,1,26,26.0,0.7582815978152447,0.7582815978152447,7.0,0.0,0
8,1,27,27.0,0.7859158416711569,0.7859158416711569,8.0,0.0,0
9,1,28,28.0,0.8063641170875342,0.8063641170875342,9.0,0.0,0
10,1,29,29.0,0.8226656155636347,0.8226656155636347,10.0,0.0,0
11,1,30,30.0,0.8321561057790374,0.8321561057790374,11.0,0.0,0
12,1,31,31.0,0.8315797968496655,0.8315797968496655,12.0,0.0,0
13,1,32,32.0,0.8468334720136717,0.8468334720136717,13.0,0.0,0
14,1,33,33.0,0.8667247350629953,0.8667247350629953,14.0,0.0,0
15,1,34,34.0,0.8623280047854238,0.8623280047854238,15.0,0.0,0
16,1,35,35.0,0.8766785380845505,0.8766785380845505,16.0,0.0,0
17,1,36,36.0,0.8791096446211629,0.8791096446211629,17.0,0.0,0
18,1,37,37.0,0.8833582124366104,0.8833582124366104,18.0,0.0,0
19,1,38,38.0,0.8873899875889814,0.8873899875889814,19.0,0.0,0
20,1,39,39.0,0.8822410765473949,0.8822410765473949,20.0,0.0,0
21,1,40,40.0,0.8921451613448117,0.8921451613448117,21.0,0.0,0
22,1,41,41.0,0.8952208003163062,0.8952208003163062,22.0,0.0,0
23,1,42,42.0,0.889612638348699,0.889612638348699,23.0,0.0,0
24,1,42,42.0,0.9106207359111527,0.9106207359111527,24.0,0.0,0
25,1,42,42.0,0.9244675196290376,0.9244675196290376,25.0,0.0,0
26,1,42,42.0,0.9313570017295072,0.9313570017295072,26.0,0.0,0
27,1,42,42.0,0.9341948602463949,0.9341948602463949,27.0,0.0,0
28,1,42,42.0,0.9343520453732821,0.9343520453732821,28.0,0.0,0
29,1,42,42.0,0.9326207693597136,0.9326207693597136,29.0,0.0,0
30,1,42,42.0,0.9294041088693901,0.9294041088693901,30.0,0.0,0
31,1,42,42.0,0.9244052379447496,0.9244052379447496,31.0,0.0,0
32,1,42,42.0,0.9175906525174164,0.9175906525174164,32.0,0.0,0
33,1,42,42.0,0.9094305149514045,0.9094305149514045,33.0,0.0,0
34,1,42,42.0,0.9000549378004121,0.9000549378004121,34.0,0.0,0
35,1,42,42.0,0.8895067673807137,0.8895067673807137,35.0,0.0,0
36,1,42,42.0,0.877350558111042,0.877350558111042,36.0,0.0,0
37,1,42,42.0,0.8669101979064391,0.8669101979064391,37.0,0.0,0
38,1,42,42.0,0.8577222281457728,0.8577222281457728,38.0,0.0,0
39,1,42,42.0,0.8490802557251731,0.8490802557251731,39.0,0.0,0
40,1,42,42.0,0.8407779081761456,0.8407779081761456,40.0,0.0,0
41,1,42,42.0,0.8327906573036387,0.8327906573036387,41.0,0.0,0
42,1,42,42.0,0.8250492621543922,0.8250492621543922,42.0,0.0,0
43,2,42,21.0,0.697547573197799,0.7562069241106774,0.0,1.0,1
44,2,43,21.5,0.7350148551728033,0.7532840401095005,1.0,1.0,1
45,2,44,22.0,0.7614409693754935,0.7733537827746221,2.0,1.0,1
46,2,45,22.5,0.7876389244598906,0.8196750221680749,3.0,1.0,1
47,2,47,23.5,0.7866644049497973,0.8071175013916939,4.0,1.0,1
48,2,49,24.5,0.8055837638384111,0.8313136170819585,5.0,1.0,1
49,2,50,25.0,0.832497948688464,0.8699551853893442,6.0,1.0,1
50,2,52,26.0,0.8373676756866488,0.8632503692514994,7.0,1.0,1
51,2,54,27.0,0.8460200593545122,0.8639623635496945,8.0,1.0,1
52,2,55,27.5,0.8597858889785943,0.8736252540756827,9.0,1.0,1
53,2,56,28.0,0.8733460924023446,0.8785031986633655,10.0,1.0,1
54,2,57,28.5,0.8802411172817294,0.8809834959190457,11.0,1.0,1
55,2,57,28.5,0.8862083785867687,0.8873278717699582,12.0,1.0,1
56,2,57,28.5,0.8907225794407456,0.8985578468861348,13.0,1.0,1
57,2,58,29.0,0.8859118354924912,0.8959485635616611,14.0,1.0,1
58,2,59,29.5,0.8798520657767638,0.892353010760974,15.0,1.0,1
59,2,60,30.0,0.8790904073914032,0.9000645084670884,16.0,1.0,1
60,2,61,30.5,0.8740672123091202,0.8990963178846427,17.0,1.0,1
61,2,61,30.5,0.8661653906715905,0.8902413426530533,18.0,1.0,1
62,2,62,31.0,0.871053042428706,0.8990896020993258,19.0,1.0,1
63,2,63,31.5,0.8712864097451638,0.890690844290529,20.0,1.0,1
64,2,64,32.0,0.8689592727469132,0.8766172110066278,21.0,1.0,1
65,2,65,32.5,0.8705038732350282,0.8721928761121044,22.0,1.0,1
66,2,66,33.0,0.8727357355981991,0.874320599174399,23.0,1.0,1
67,2,66,33.0,0.888534381402034,0.8988659508456837,24.0,1.0,1
68,2,66,33.0,0.8960449221738592,0.9112204016992701,25.0,1.0,1
69,2,67,33.5,0.896964158799687,0.9112718018590136,26.0,1.0,1
70,2,68,34.0,0.892448528110843,0.901073952652872,27.0,1.0,1
