generation,environment,perspective_closure,historical_present_distance,identity_step_distance,perspective_step_distance,self_index_similarity,transverse_adaptation,identity_rho,identity_closure,identity_failure,identity_exports_this_step,identity_exports_total,identity_norm,identity_0,identity_1,identity_2,identity_3,identity_4,identity_5,identity_6,present_self_0,present_self_1,present_self_2,present_self_3,present_self_4,present_self_5,present_self_6
0,perspective_A,True,,0.0,,1.0,0.0,0.965,False,identity_initialization,0,0,0.9473778675567037,0.3567398790031017,0.17860627862049167,0.32410519562478,0.7548431931902055,0.2517477456612733,0.008971807625091298,0.008451922167250893,0.3567398790031017,0.17860627862049167,0.32410519562478,0.7548431931902055,0.2517477456612733,0.008971807625091298,0.008451922167250893
1,perspective_A,True,0.0071366746167255,0.00024978361158539214,0.0071366746167255,0.9999998033347237,0.006191734183655991,0.965,True,,0,0,0.9476670237155554,0.3569455717266418,0.17887539680933032,0.3243224280265149,0.7548867495985514,0.2519183601739156,0.00931893287180718,0.008803086724591349,0.3626168139613905,0.18629536973016758,0.3303118356743477,0.756087662000087,0.25662244602248274,0.018889671816973597,0.018485195234121066
2,perspective_A,True,0.014005504502419762,0.0004901926575846934,0.007119256571518991,0.9999982805422264,0.01212030529425419,0.965,True,,0,0,0.9482401618262348,0.35735690953267274,0.17940289095942905,0.3247563989844861,0.7549727116996643,0.25224900674383993,0.009996879489241993,0.009488589442533946,0.36869808047038255,0.19394665824072282,0.3367215982542632,0.7573428096303461,0.26136540502889644,0.02868883622708751,0.028388878665808373
3,perspective_A,True,0.020582818651048617,0.0007203986527867042,0.00706838845279033,0.9999933279115965,0.017772950109697712,0.965,True,,0,0,0.9490895817397342,0.3579688884436603,0.18017954017346086,0.3254014239575122,0.7550992604366812,0.25273073304128135,0.010989422771234672,0.010491506763386074,0.37484202127517513,0.20159286850319538,0.34318568392808774,0.7585883899001472,0.26601261524216624,0.03835525897474708,0.03814337003830906
4,perspective_A,True,0.026889375323939806,0.0009411281363379009,0.007027828725611323,0.9999820277116308,0.02316828736756492,0.965,True,,0,0,0.95020828050421,0.3587757058479895,0.1811927274913761,0.32625015293483817,0.7552649643699795,0.25335856909894017,0.012286318007082055,0.011794824943805444,0.38102081428163675,0.20912774925675334,0.34965082330968156,0.7598336585309181,0.2706689061172479,0.048043572366874156,0.04772916906108235
5,perspective_A,True,0.03288904560278095,0.0011511165960973286,0.006942018317423401,0.9999608389980661,0.028267739459865285,0.965,True,,0,0,0.9515891303669679,0.3597710458120466,0.18243258707905297,0.3272958955265019,0.755467809296906,0.2541246999629413,0.013867988418938826,0.013383588947222497,0.3872139905353349,0.21661728713928685,0.3561285126966595,0.7610605337107377,0.27524802235611595,0.057476901202989754,0.05718808218429265
6,perspective_A,True,0.03859794658197938,0.0013509281303692767,0.006861281039274627,0.999925742949622,0.033089895051374746,0.965,True,,0,0,0.9532247165432466,0.3609469965624163,0.18389055223981693,0.3285300677091562,0.7557060193130511,0.25502131084142193,0.0157195524667295,0.015242190474703387,0.3933696386797514,0.22408873452945244,0.3625579578880547,0.7622738097581943,0.2797421536338163,0.06676981835581518,0.06648648973239074
7,perspective_A,True,0.04402082614421486,0.0015407289150475107,0.0067747481304425055,0.999872386107646,0.03764289120148661,0.965,True,,0,0,0.9551070187513122,0.3622946264824453,0.1855561632808743,0.3299432569419014,0.7559775465524464,0.2560414993245655,0.017827955541680526,0.01735632709973794,0.39945070856324605,0.23147943912717078,0.3689069029304478,0.7634639404386316,0.2841695532169525,0.07595964032247302,0.07564609404711917
8,perspective_B,True,0.048781766922961114,0.0017073618423036362,0.006305759843548475,0.9997969802189715,0.041554095997945587,0.965,True,,0,0,0.9572212459278179,0.36379793013440487,0.1874009489718008,0.3315177423246175,0.7562882086726848,0.25716592670593724,0.020168456222518696,0.019685412663241156,0.40524615939557673,0.2382643258787742,0.3749285535909329,0.7648536071306832,0.2881679959351865,0.08469940356562815,0.08390162891411544
9,perspective_B,True,0.05367584000722223,0.0018786544002527786,0.006604328818084092,0.9996943194425036,0.0456432463616752,0.965,True,,0,0,0.9595610527016025,0.3654478709148808,0.18942528811964388,0.3332465033201468,0.7566269927705715,0.2584047766901802,0.02273698497773041,0.022264106989853684,0.4109390952908596,0.24523921033874607,0.38091091362545565,0.7659677543265917,0.2925616405414502,0.09355499208571044,0.09336239342359912
