generation,environment,reward,maintenance,environment_match,active_self_representations,multiplicity_unity_distance,representation_diversity,standpoint_persistence,perspective_rho,perspective_closure,perspective_failure,perspective_exports_this_step,perspective_exports_total,here_norm,action_source,chosen_candidate_index,policy_change_norm,self_reference_reachable,self_recurrent_coupling,policy_to_self_coupling,standpoint_0,standpoint_1,standpoint_2,standpoint_3,standpoint_4,standpoint_5,standpoint_6
0,perspective_A,0.7026065271228672,0.4441902650091363,0.7651692928155406,5,0.2367373490374035,0.17433522443265823,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,1,0.10859986624934463,False,0.340112838417238,0.03929052268259064,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
1,perspective_A,0.7242409680574857,0.5097487911897239,0.7651692928155406,5,0.3573382994607614,0.22282992211232444,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,0,0.0,False,0.5334828893779492,0.03975531371532705,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
2,perspective_A,0.7376176959101761,0.5467304983819737,0.7651692928155406,5,0.3672196690606742,0.22255269923819304,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,0,0.0,False,0.6692916933194916,0.038177995739035984,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
3,perspective_A,0.7609355598636953,0.568725832828466,0.7951747473032376,5,0.3748737032882675,0.22288637142213585,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,1,0.09425861318282025,False,0.6852348415897996,0.2537874209349118,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
4,perspective_A,0.7609819955660728,0.5969864806188829,0.7790403947326865,5,0.38514231746752614,0.22681292559097693,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,0,0.058440340173348544,False,0.8579443820042004,0.28075337603805045,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
5,perspective_A,0.7678181334054139,0.6124510938647896,0.7790403947326865,5,0.3874641983537476,0.2264587468682044,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,0,3.469446951953614e-18,False,0.8911199794997803,0.3144780863291913,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
6,perspective_A,0.7356414230156791,0.6181063639158586,0.70576816431615,5,0.39363314709414665,0.228071699160941,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,1,0.10298095716600644,False,0.8871157975517432,0.3535955375082732,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
7,perspective_A,0.7742994494424558,0.6139156468976781,0.7790403947326865,5,0.3941014970110657,0.22662798636552747,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,0,0.10298095716600644,False,0.8692664040723093,0.36233744605638313,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
8,perspective_B,0.7880409240165984,0.5798547081943776,0.8202606653133244,5,0.28928481699290176,0.1844692597795571,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,0,0.0,False,0.9193089515893804,0.3640960309812276,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
9,perspective_B,0.7784649731493126,0.5510744621574244,0.8113420707097762,5,0.3738651898147609,0.21633326430183292,1.0,0.985,False,perspective_ablated,0,0,0.9400793433109423,model_free,1,0.0576262242555986,False,1.1638271821119432,0.4755543488530864,0.35167605574862226,0.17126987278273206,0.3187821636276054,0.7540843229745924,0.2459156770254075,0.0,0.0
