generation,component_count,largest_component_fraction,large_cluster_count,division_like_event,mean_resource,resource_std,resource_entropy,viable_fraction,edge_density,algebraic_connectivity,maintenance_score,terminal
0,1,1.0,1,False,0.41241783129967774,0.2019062928662448,0.9644372830352435,0.9583333333333334,0.532608695652174,1.602079138490242,0.38946465076282466,False
1,1,1.0,1,False,0.4708788784944972,0.1684553581355878,0.9796388874003983,1.0,0.5072463768115942,1.404503480172595,0.4612912606286966,False
2,1,1.0,1,False,0.5176434959057286,0.16596711471942835,0.9831373508071667,1.0,0.4927536231884058,1.249378485040534,0.5089146552273184,False
3,1,1.0,1,False,0.5406732202624384,0.17724014615338277,0.9824226003789363,1.0,0.48188405797101447,1.1136652755297458,0.531169591005478,False
4,1,1.0,1,False,0.5672210319223013,0.19001999881692266,0.9815371023809766,1.0,0.4528985507246377,1.0005658213226911,0.556748488082563,False
5,1,1.0,1,False,0.5959250788075915,0.20068541615279267,0.9811350784979689,1.0,0.427536231884058,0.9093227020148816,0.5846829989747946,False
6,1,1.0,1,False,0.6244020029320146,0.20865681890974092,0.9811389542372759,1.0,0.42391304347826086,0.836668425611535,0.6126251281803774,False
7,1,1.0,1,False,0.652565911008174,0.21426809292430427,0.981433360897011,1.0,0.41304347826086957,0.7803786977770517,0.640449955247572,False
8,1,1.0,1,False,0.6797492594649485,0.21265318144396864,0.9827946134456415,1.0,0.41304347826086957,0.7386453982734268,0.6680539106958151,False
9,2,0.9583333333333334,1,False,0.6902117623345602,0.2075764584956472,0.9839309919968954,1.0,0.40217391304347827,0.7048299422217966,0.6791207440017691,False
10,3,0.9166666666666666,1,False,0.696218216231084,0.2064268222599462,0.9843154287547181,1.0,0.39855072463768115,0.6757151552919359,0.6852983320163445,False
11,4,0.875,1,False,0.7024371095550711,0.20861593456901775,0.9842458661098973,1.0,0.40217391304347827,0.6485869908746752,0.6913708212817637,False
12,4,0.875,1,False,0.7086957297983875,0.21226140055847426,0.9839670765054485,1.0,0.40217391304347827,0.6219086021118807,0.6973332653816146,False
13,4,0.875,1,False,0.7145577545301237,0.21629963066831046,0.9836015090168072,1.0,0.38768115942028986,0.5972183494900687,0.7028400856354909,False
14,4,0.875,1,False,0.7198325172624577,0.22027664350130569,0.9832042779264164,1.0,0.38768115942028986,0.5750680998525947,0.7077424103629893,False
15,4,0.875,1,False,0.724226391725686,0.22391651475650437,0.9828055934664913,1.0,0.38768115942028986,0.5555727420071578,0.7117737487240585,False
16,4,0.875,1,False,0.7278352392715774,0.22718050552854796,0.9824186674375127,1.0,0.38768115942028986,0.5385928241610664,0.7150389258792463,False
17,4,0.875,1,False,0.7308869662484172,0.23012180858075673,0.9820487406373668,1.0,0.38405797101449274,0.5238739623909255,0.7177666247525237,False
18,4,0.875,1,False,0.7335333406446963,0.2327831123601766,0.9816988478409591,1.0,0.38405797101449274,0.5111388522411718,0.7201088353638281,False
