carrying_capacity,disturbance,environment,generation,max_environment_fitness,mean_environment_fitness,mean_environment_match,mean_intrinsic_fitness,mean_maintenance,mean_unit_nodes,population_size,resource_supply,total_nodes
8,0.02,season_rich,0,0.6225179960304064,0.5563071332344822,0.6510880353492132,0.5052712628650118,0.3057370907169213,20.0,10,0.95,200
8,0.02,season_rich,1,0.6842252369604219,0.6316298565623102,0.6973354745812146,0.5962499083982846,0.3771212427099395,20.0,8,0.95,160
8,0.02,season_rich,2,0.7060664117417386,0.649239487684607,0.6973354745812146,0.6233416485864336,0.4015443311691126,20.0,8,0.95,160
8,0.02,season_rich,3,0.731213615488568,0.6641642657687845,0.6973354745812146,0.6463028456390146,0.42787346591290154,20.0,8,0.95,160
8,0.02,season_rich,4,0.7549020452090325,0.6816830490300998,0.6973354745812146,0.6732548198871918,0.473033314514918,20.125,8,0.95,161
8,0.02,season_rich,5,0.776571587176275,0.7022783998789535,0.6973354745812146,0.7049399750392746,0.5252602195928054,20.25,8,0.95,162
5,0.16,season_poor,6,0.7167524379071777,0.6802026023116625,0.6343522889053042,0.7192602766948567,0.5581638192052502,20.2,5,0.52,101
5,0.16,season_poor,7,0.7191249414508949,0.684500207294301,0.6343522889053042,0.7272188044404836,0.5635720029133846,20.2,5,0.52,101
5,0.16,season_poor,8,0.7193659694174085,0.686152106310985,0.6343522889053042,0.7302778766936017,0.5579224870114757,20.2,5,0.52,101
5,0.16,season_poor,9,0.7182376579819023,0.6859546459461222,0.6343522889053042,0.7299122093512634,0.5457010028277202,20.2,5,0.52,101
5,0.16,season_poor,10,0.715808814127205,0.684806331483797,0.6343522889053042,0.7277857010876982,0.5300309486488444,20.2,5,0.52,101
5,0.16,season_poor,11,0.71323360395117,0.6832228260904337,0.6343522889053042,0.7248532836925812,0.5126871716447947,20.2,5,0.52,101
8,0.02,season_rich,12,0.7649932978273972,0.7193314798283152,0.6850296776992618,0.7378016809747288,0.5163236555133349,20.4,5,0.95,102
8,0.02,season_rich,13,0.7647721235199462,0.7214231692530205,0.6850296776992618,0.7410196647050445,0.5159825035780481,20.8,5,0.95,104
8,0.02,season_rich,14,0.7627721902288656,0.72753363510795,0.6850296776992618,0.750420381404936,0.5430962359913185,21.0,5,0.95,105
8,0.02,season_rich,15,0.7716161809303209,0.7348653314336847,0.6850296776992618,0.7616999142137585,0.562154358249535,21.4,5,0.95,107
8,0.02,season_rich,16,0.7813652334095615,0.7501712056156318,0.6850296776992618,0.7852474129552157,0.6143184404766585,21.8,5,0.95,109
8,0.02,season_rich,17,0.8156250042796562,0.7683125939389895,0.6850296776992618,0.8131572411449968,0.6697909232963857,22.0,5,0.95,110
5,0.16,season_poor,18,0.7661701851279148,0.7344592766436004,0.6343522889053042,0.8197355995317789,0.6814657145717836,22.0,5,0.52,110
5,0.16,season_poor,19,0.7684612175001276,0.7381222644287242,0.6343522889053042,0.8265189102449705,0.6923801059055528,22.0,5,0.52,110
5,0.16,season_poor,20,0.7767673342727366,0.7377614652748411,0.6343522889053042,0.8258507636637058,0.7001297581644678,22.0,5,0.52,110
5,0.16,season_poor,21,0.7775197699188416,0.73689958498664,0.6343522889053042,0.8242546890559259,0.6988456749267591,22.0,5,0.52,110
5,0.16,season_poor,22,0.7734084518674308,0.7345295638939477,0.6343522889053042,0.8198657611064959,0.6970493152938808,22.0,5,0.52,110
5,0.16,season_poor,23,0.7730805692866543,0.7322343393923703,0.6343522889053042,0.8156153453628342,0.6939157354312238,22.0,5,0.52,110
8,0.02,season_rich,24,0.822549811680154,0.7765582318324217,0.6850296776992618,0.8258428379041233,0.7166294307919173,22.4,5,0.95,112
8,0.02,season_rich,25,0.8312738993930291,0.7843363705725344,0.6850296776992618,0.8378092051966041,0.7436415353195034,22.6,5,0.95,113
8,0.02,season_rich,26,0.8372476705105212,0.7835002036520281,0.6850296776992618,0.8365227945496715,0.7446492503616218,23.2,5,0.95,116
8,0.02,season_rich,27,0.8413814531403077,0.7853134565861971,0.6850296776992618,0.8393124144483931,0.7599905334857839,23.8,5,0.95,119
8,0.02,season_rich,28,0.8443779354810881,0.7849565380162511,0.6850296776992618,0.8387633089561686,0.7617422309385822,24.4,5,0.95,122
8,0.02,season_rich,29,0.8332047742284285,0.7833389936406829,0.6850296776992618,0.836274779147602,0.7552018705612186,25.0,5,0.95,125
5,0.16,season_poor,30,0.7843511490119841,0.733372898533158,0.6343522889053042,0.8177237882161444,0.722887927142232,25.2,5,0.52,126
5,0.16,season_poor,31,0.7744707588257236,0.7293122056131832,0.6343522889053042,0.8102039865124875,0.7112920473653432,25.2,5,0.52,126
5,0.16,season_poor,32,0.7663312788737223,0.7252968803707542,0.6343522889053042,0.8027681990265082,0.700761748671817,25.2,5,0.52,126
5,0.16,season_poor,33,0.762662576533184,0.7216304962378938,0.6343522889053042,0.7959785987804702,0.6914417223495576,25.2,5,0.52,126
5,0.16,season_poor,34,0.7598860596843644,0.7178972890180251,0.6343522889053042,0.7890652520770095,0.6834351051369639,25.2,5,0.52,126
5,0.16,season_poor,35,0.7573663603199489,0.714621162306592,0.6343522889053042,0.7829983507595409,0.676397637429735,25.2,5,0.52,126
8,0.02,season_rich,36,0.8221631196703594,0.754572669283999,0.6850296776992618,0.7920188955219343,0.6982468265699093,25.6,5,0.95,128
