export_cost_mean,export_cost_std,fission_threshold_mean,fission_threshold_std,formation_drive_mean,formation_drive_std,generation,neighbor_scale_mean,neighbor_scale_std,node_birth_threshold_mean,node_birth_threshold_std,resource_blend_mean,resource_blend_std,topology_blend_mean,topology_blend_std
0.1,0.0,0.22,0.0,1.45,0.0,0,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,1,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,2,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,3,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,4,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,5,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,6,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,7,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,8,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,9,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,10,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,11,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,12,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,13,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,14,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,15,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,16,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,17,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,18,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,19,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,20,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,21,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,22,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,23,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,24,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,25,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,26,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,27,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,28,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,29,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,30,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,31,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,32,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,33,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,34,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,35,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,36,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,37,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,38,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,39,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,40,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,41,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.1,0.0,0.22,0.0,1.45,0.0,42,0.32,0.0,0.86,0.0,0.28,0.0,0.2,0.0
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,43,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,44,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,45,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,46,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,47,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,48,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,49,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,50,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,51,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,52,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,53,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,54,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,55,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,56,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,57,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,58,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,59,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,60,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,61,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,62,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,63,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
0.0933439918836757,0.0007983113580987133,0.2254713466187429,0.005471346618742892,1.4674273918312417,0.017427391831241756,64,0.3446715075464457,0.01358647126834675,0.8596980581780409,0.00030194182195902863,0.2825480319440702,0.0025480319440701338,0.19344703353931375,0.011168428449544313
