seed,scale,success,novelty,persistent_rank,support_rank,formation_eigenvalue
3,0.1,True,True,4,6,-1.4005679190354305
3,1.0,True,True,4,6,-1.4005679190354305
3,10.0,True,True,4,6,-1.4005679190354305
7,0.1,True,True,4,6,-1.2595807287512435
7,1.0,True,True,4,6,-1.2595807287512435
7,10.0,True,True,4,6,-1.2595807287512435
11,0.1,True,True,4,6,-0.9153655832813514
11,1.0,True,True,4,6,-0.9153655832813514
11,10.0,True,True,4,6,-0.9153655832813514
17,0.1,True,True,4,6,-0.9290149017118305
17,1.0,True,True,4,6,-0.9290149017118305
17,10.0,True,True,4,6,-0.9290149017118305
23,0.1,True,True,4,6,-1.5764706092339695
23,1.0,True,True,4,6,-1.5764706092339695
23,10.0,True,True,4,6,-1.5764706092339695
31,0.1,False,True,4,6,0.29311728172950063
31,1.0,False,True,4,6,0.29311728172950063
31,10.0,False,True,4,6,0.29311728172950063
