generation,environment,reward,intrinsic_fitness,environment_match,maintenance,memory_slots,memory_retrieved,retrieval_similarity,retrieval_age,witness_recoveries_total,reward_baseline,policy_norm,policy_change_norm,recall_step_norm,exploration_step_norm,chosen_probe,probe_count,base_probe_reward,explore_probe_reward,spectral_novelty,spectral_mismatch,mean_resource_after_forcing,policy_formation_drive,effective_formation_drive,policy_neighbor_scale,effective_neighbor_scale,policy_resource_blend,effective_resource_blend,policy_topology_blend,effective_topology_blend,policy_export_cost,effective_export_cost
0,learning_rich,0.6257002784863555,0.6467384969631537,0.6104657064859154,0.45832356489917897,1,False,0.0,-1,0,0.6257002784863555,0.08493742214509879,0.08493742214509879,0.0,0.08493742214509879,explore,2,0.6088858354802451,0.6257002784863555,True,0.0011962919465513817,0.347191551841543,-0.057313912515547946,1.4012831743617842,-0.006769207685423123,0.31824000600179003,0.03808099051111118,0.29447077639422226,-0.03804431049509206,0.18858670685147239,0.031402667733365135,0.10471040016000478
1,learning_rich,0.6448825027709142,0.6924104595454363,0.6104657064859154,0.5278194220688245,1,True,1.0,1,0,0.6280021454005025,0.08493742214509879,0.0,0.0,0.009188948800258973,recall_or_current,2,0.6448825027709142,0.645244322294294,True,0.002021782117791127,0.458012886775345,-0.057313912515547946,1.4012831743617842,-0.006769207685423123,0.31824000600179003,0.03808099051111118,0.29447077639422226,-0.03804431049509206,0.18858670685147239,0.031402667733365135,0.10471040016000478
2,learning_rich,0.6563649610949864,0.7197496460313226,0.6104657064859154,0.565833357017437,1,True,1.0,1,0,0.6314056832838405,0.08493742214509879,8.673617379884035e-19,8.673617379884035e-19,0.004414254012645158,recall_or_current,2,0.6563649610949864,0.65556605452995,True,0.0025361399130727053,0.5258779368840726,-0.057313912515547946,1.4012831743617842,-0.006769207685423124,0.31824000600179003,0.03808099051111118,0.29447077639422226,-0.03804431049509206,0.18858670685147239,0.031402667733365135,0.10471040016000478
3,learning_rich,0.6633047376895125,0.7362729236373372,0.6104657064859154,0.588773690128661,1,True,1.0,1,0,0.6352335698125211,0.08493742214509879,0.0,0.0,0.009382582169749762,recall_or_current,2,0.6633047376895125,0.6642386465129515,True,0.002498560842439761,0.5638447282846065,-0.057313912515547946,1.4012831743617842,-0.006769207685423124,0.31824000600179003,0.03808099051111118,0.29447077639422226,-0.03804431049509206,0.18858670685147239,0.031402667733365135,0.10471040016000478
4,learning_rich,0.668646411592378,0.7489911948346359,0.6104657064859154,0.607764328658013,1,True,1.0,1,0,0.639243110826104,0.08493742214509879,0.0,0.0,0.004658983344336262,recall_or_current,2,0.668646411592378,0.6676215716178597,True,0.0021464506132247933,0.5871674468524603,-0.057313912515547946,1.4012831743617842,-0.006769207685423124,0.31824000600179003,0.03808099051111118,0.29447077639422226,-0.03804431049509206,0.18858670685147239,0.031402667733365135,0.10471040016000478
5,learning_rich,0.6731798576876671,0.7549695582325907,0.6139528331551362,0.6134977810489589,1,True,1.0,1,0,0.6433155204494915,0.08477259809926622,0.008367507126483431,0.0,0.008367507126483431,explore,2,0.6711420353339513,0.6731798576876671,True,0.0017768061644735148,0.6069105588918414,-0.059226049096592126,1.3996578582678967,9.487645279182555e-05,0.3200246678777259,0.038539829589340296,0.29464513524394936,-0.03380108855361244,0.1898596734339163,0.0324164687031444,0.10486247030547166
6,learning_rich,0.672875469562983,0.7572114013113029,0.6118046224348892,0.6083969580250078,1,True,1.0,1,0,0.6468627143431105,0.08477759511973225,0.005187854418419727,0.005187854418419727,0.016067104530569653,recall_or_current,2,0.672875469562983,0.6650608049105241,True,0.0017330256992040944,0.6133487479343666,-0.05804052441634473,1.4006655542461068,-0.0041608557129014425,0.31891817751464563,0.03825534936083824,0.29453703275711857,-0.036431886157329806,0.18907043415280106,0.031787912101881255,0.10476818681528219
7,learning_rich,0.6723343114480722,0.7559229296091344,0.6118046224348892,0.5970908902163206,1,True,1.0,2,0,0.6499193059957059,0.08477759511973225,0.0,0.0,0.005790930970292683,recall_or_current,2,0.6723343114480722,0.6738617866387855,True,0.0016816958082807522,0.6090294355819416,-0.05804052441634473,1.4006655542461068,-0.0041608557129014425,0.31891817751464563,0.03825534936083824,0.29453703275711857,-0.036431886157329806,0.18907043415280106,0.031787912101881255,0.10476818681528219
8,learning_rich,0.6714357764875536,0.7537835606555187,0.6118046224348892,0.5856681640517478,1,True,1.0,3,0,0.6525012824547276,0.08477759511973225,0.0,0.0,0.008007635652398397,recall_or_current,2,0.6714357764875536,0.6725522300185354,True,0.0015388311716538635,0.5986175748190625,-0.05804052441634473,1.4006655542461068,-0.0041608557129014425,0.31891817751464563,0.03825534936083824,0.29453703275711857,-0.036431886157329806,0.18907043415280106,0.031787912101881255,0.10476818681528219
9,learning_rich,0.6757334753210058,0.7526612937130052,0.6200271240716269,0.5754929082937065,1,True,1.0,4,0,0.6552891455986809,0.08636922745153207,0.009872889414643777,0.0,0.009872889414643777,explore,2,0.670928629826973,0.6757334753210058,True,0.0014846775048285375,0.5879209966585657,-0.06406973769252694,1.3955407229613521,0.0013840443610771986,0.3203598515338801,0.03284110610458977,0.29247962031974417,-0.035412470452229575,0.18937625886433113,0.03194080885151295,0.10479112132772694
10,learning_poor,0.43987151515177864,0.7319417088267256,0.22837240938716177,0.5303003138910237,2,False,0.10886972344455337,-1,0,0.6294390299450526,0.13881251573386488,0.0912031924073114,0.0,0.0912031924073114,explore,2,0.4269158869119047,0.43987151515177864,True,0.0011135525794250245,0.5227335833836486,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
11,learning_poor,0.43511754685502524,0.7206227366915985,0.22837240938716177,0.501327576613251,2,True,1.0,1,0,0.6061204519742494,0.13881251573386488,0.0,0.0,0.01337147161075361,recall_or_current,2,0.43511754685502524,0.432759621245435,True,0.0009810688954433806,0.48244206593753997,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
12,learning_poor,0.43263137130069934,0.7147032710860607,0.22837240938716177,0.48209514099836426,2,True,1.0,2,0,0.5853017622934233,0.13881251573386488,0.0,0.0,0.009871297983311541,recall_or_current,2,0.43263137130069934,0.4331661549214478,True,0.0009452320693473629,0.4568746619218036,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
13,learning_poor,0.43159699572880184,0.7049734499893676,0.23363473574701274,0.46895459053732574,2,True,1.0,3,0,0.5668571903056688,0.13548614370811032,0.00978316220957419,0.0,0.00978316220957419,explore,2,0.4285810155071192,0.43159699572880184,True,0.0009055731163155401,0.4401350621341522,-0.09662340525525122,1.3678701055330365,-0.002304107427833493,0.3194009320687633,0.08143435922977668,0.3109450565073152,-0.03251792866924333,0.19024462139922702,-0.036416112294325245,0.09453758315585122
14,learning_poor,0.42533117432632783,0.6973218497185094,0.22837240938716177,0.4601693588056664,2,True,1.0,4,0,0.5498740683881479,0.13881251573386488,0.00978316220957419,0.00978316220957419,0.009980696224328683,recall_or_current,2,0.42533117432632783,0.4266538778091089,True,0.0008320831006308607,0.42890019052478756,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
15,learning_poor,0.42233045277472614,0.6901772745956483,0.22837240938716177,0.45414763214371634,2,True,1.0,5,0,0.5345688345145373,0.13881251573386488,0.0,0.0,0.005100819231056831,recall_or_current,2,0.42233045277472614,0.42201703045146366,True,0.0007181201182214221,0.4215718395687425,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
16,learning_poor,0.42071821192276565,0.6863386059005042,0.22837240938716177,0.45125139144349236,2,True,1.0,6,0,0.5209067598035247,0.13881251573386488,0.0,0.0,0.0059120689430508895,recall_or_current,2,0.42071821192276565,0.419872967475116,True,0.0006707731531760295,0.41669663041539956,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
17,learning_poor,0.4190287892206177,0.6823161708953901,0.22837240938716177,0.45096584105381055,2,True,1.0,7,0,0.5086814033335759,0.13881251573386488,0.0,0.0,0.012137025232180874,recall_or_current,2,0.4190287892206177,0.4160625085394102,True,0.0006014562675251068,0.414610333924376,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
18,learning_poor,0.4188565320303179,0.6819060347280097,0.22837240938716177,0.45740311491147445,2,True,1.0,8,0,0.49790241877718494,0.13881251573386488,0.0,0.0,0.006258060805417248,recall_or_current,2,0.4188565320303179,0.419770748962065,True,0.00040707601840439577,0.41484599326871957,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
19,learning_poor,0.42111125056334114,0.6872744121875888,0.22837240938716177,0.47430265870576416,2,True,1.0,9,0,0.4886874785915237,0.13881251573386488,0.0,0.0,0.013842493805257641,recall_or_current,2,0.42111125056334114,0.4179885786186074,True,0.00015344985875787726,0.42099758658801184,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.03721649480167911,0.09441752577974814
20,learning_rich,0.6532907575120115,0.7062529243632314,0.6149388435852662,0.5152966140292637,2,True,1.0,11,1,0.5084398720619823,0.08525132751424097,0.09106929680402215,0.09106929680402215,0.003744522761613244,recall_or_current,2,0.6532907575120115,0.6537654667701072,True,0.0001857895261991531,0.48265041779316853,-0.060331625461293975,1.3987181183579,-0.0020537936847895583,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.03184601286674129,0.1047769019300112
21,learning_rich,0.6593320334253314,0.7206369146330407,0.6149388435852662,0.5442317512726521,2,True,1.0,12,1,0.5265469314255842,0.08525132751424097,6.952433221959954e-18,6.952433221959954e-18,0.010518161656187271,recall_or_current,2,0.6593320334253314,0.6584929398711368,True,0.00022473738351401536,0.5245010751675676,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
22,learning_rich,0.6633477741909285,0.7301982021701765,0.6149388435852662,0.5646843405756137,2,True,1.0,13,1,0.5429630325574255,0.08525132751424097,0.0,0.0,0.008052029587087235,recall_or_current,2,0.6633477741909285,0.6622644297560203,True,0.0002524960836612333,0.5541893415740654,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
23,learning_rich,0.6692928320441898,0.736202094387058,0.6208412972441818,0.5807348894615942,2,True,1.0,14,1,0.5581226084958373,0.08426271552526986,0.007408772340030522,0.0,0.007408772340030522,explore,2,0.6658508990606458,0.6692928320441898,True,0.00023909621534175103,0.5752208911405293,-0.06078007571071142,1.3983369356458952,0.004813284971082845,0.32125145409248157,0.033543941038670345,0.29274669759469474,-0.035352922544673954,0.18939412323659782,0.03174578395983286,0.10476186759397493
24,learning_rich,0.6683657376667824,0.7421457342555428,0.6149388435852662,0.5927654970844227,2,True,1.0,15,1,0.5713517839963507,0.08525132751424097,0.007408772340030522,0.007408772340030522,0.014020880259779295,recall_or_current,2,0.6683657376667824,0.6651010363962888,True,0.0002546803347970953,0.5916362253467676,-0.060331625461293975,1.3987181183579,-0.0020537936847895583,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
25,learning_rich,0.6702504795062003,0.7466332148255855,0.6149388435852662,0.6019846369511211,2,True,1.0,16,1,0.5832196274575326,0.08525132751424097,4.336808689942018e-19,4.336808689942018e-19,0.004559682840094043,recall_or_current,2,0.6702504795062003,0.6705348359519243,True,0.0002583915211063722,0.6039037088070572,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
26,learning_rich,0.6717597184479038,0.7502266408772604,0.6149388435852662,0.6093805068855123,2,True,1.0,17,1,0.5938444383763771,0.08525132751424097,0.0,0.0,0.006469718132212588,recall_or_current,2,0.6717597184479038,0.6724214341558263,True,0.00026090176973133056,0.6132455641644278,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
27,learning_rich,0.6725129098996343,0.752019953857571,0.6149388435852662,0.6154809006404498,2,True,1.0,18,1,0.603284654959168,0.08525132751424097,0.0,0.0,0.004503902572827722,recall_or_current,2,0.6725129098996343,0.671684009856617,True,0.0002643565799805675,0.6206622565283771,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
28,learning_rich,0.673596324236143,0.7545995118016396,0.6149388435852662,0.620742916222206,2,True,1.0,19,1,0.6117220552724051,0.08525132751424097,0.0,0.0,0.00710964761749925,recall_or_current,2,0.673596324236143,0.6724086971770589,True,0.0002657674031351758,0.6267073453008851,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
29,learning_rich,0.6745996451380485,0.7569883710918907,0.6149388435852662,0.6255892244765975,2,True,1.0,20,1,0.6192673660562823,0.08525132751424097,0.0,0.0,0.011988569782040728,recall_or_current,2,0.6745996451380485,0.6748911749582003,True,0.0002674268106945497,0.6318599151362861,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
30,learning_poor,0.4427102648051534,0.738700636572856,0.22837240938716177,0.5914594182008074,2,True,1.0,20,2,0.5980805139061468,0.13881251573386488,0.09106929680402215,0.09106929680402215,0.006852475096501252,recall_or_current,2,0.4427102648051534,0.44417315598798623,True,0.0001941620846656205,0.5757778520278181,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
31,learning_poor,0.427609340685147,0.7027460553347455,0.22837240938716177,0.5500375641419705,2,True,1.0,1,2,0.5776239731196268,0.13881251573386488,0.0,0.0,0.00753941813742001,recall_or_current,2,0.427609340685147,0.42854968252599773,True,0.00014915293063906925,0.5443025120160043,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
32,learning_poor,0.4201358380594415,0.6849520014640181,0.22837240938716177,0.5296062797000768,2,True,1.0,2,2,0.5587253969124045,0.13881251573386488,0.0,0.0,0.005835276277933005,recall_or_current,2,0.4201358380594415,0.4183195960987413,True,0.00013588403164667903,0.5279972175510489,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
33,learning_poor,0.4191301048680832,0.6825573986274509,0.22837240938716177,0.5257935014791946,2,True,1.0,3,2,0.541973961867086,0.13881251573386488,0.0,0.0,0.007324892126392839,recall_or_current,2,0.4191301048680832,0.4186404082181584,True,0.00012678396533101718,0.519470339897857,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
34,learning_poor,0.4187703065049538,0.6817007358580951,0.22837240938716177,0.5245201099052196,2,True,1.0,4,2,0.5271895232236301,0.13881251573386488,0.0,0.0,0.008017297057956046,recall_or_current,2,0.4187703065049538,0.41858048944054765,True,0.00012435531476513056,0.5155139388329508,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
35,learning_poor,0.41749932564856096,0.6786745909619216,0.22837240938716177,0.5243983953451927,2,True,1.0,5,2,0.5140266995146218,0.13881251573386488,0.0,0.0,0.00636068145710177,recall_or_current,2,0.41749932564856096,0.4186576751647544,True,0.0001223118499513014,0.5140585621759429,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
36,learning_poor,0.4176809818336213,0.6791071056882558,0.22837240938716177,0.5253090640221351,2,True,1.0,6,2,0.5024652133929017,0.13881251573386488,0.0,0.0,0.007927425117959205,recall_or_current,2,0.4176809818336213,0.4166786291037068,True,0.0001257524543627588,0.513754978971141,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
37,learning_poor,0.417801658049078,0.6793944300107717,0.22837240938716177,0.5262254373455689,2,True,1.0,7,2,0.4923055867516429,0.13881251573386488,0.0,0.0,0.01378093180100974,recall_or_current,2,0.417801658049078,0.41546933577822165,True,0.00012524337558559245,0.5144643521020028,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
38,learning_poor,0.41803997623685707,0.6799618542673886,0.22837240938716177,0.5280211985669101,2,True,1.0,8,2,0.4833937134898686,0.13881251573386488,0.0,0.0,0.009387458119515336,recall_or_current,2,0.41803997623685707,0.41526365857449554,True,0.00011708373735432796,0.5152106605987271,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
39,learning_poor,0.4181631575583013,0.6802551431279701,0.22837240938716177,0.5288965804380431,2,True,1.0,9,2,0.4755660467780805,0.13881251573386488,0.0,0.0,0.007970733257229837,recall_or_current,2,0.4181631575583013,0.4178678108103271,True,0.0001240565468567146,0.5168460303277995,-0.09886877927962202,1.3659615376123213,0.004042910793725306,0.3210511568063686,0.08080141027303,0.31070453590375147,-0.039542363270319576,0.18813729101890414,-0.0372164948016791,0.09441752577974814
40,learning_rich,0.6663765563431261,0.7374095882468374,0.6149388435852662,0.5976808355263947,2,True,1.0,31,3,0.498463307925886,0.08525132751424097,0.09106929680402215,0.09106929680402215,0.007155493543930037,recall_or_current,2,0.6663765563431261,0.6683572399339055,True,0.00018482172121381637,0.5720746727735205,-0.060331625461293975,1.3987181183579,-0.0020537936847895583,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
41,learning_rich,0.671152070990078,0.7487798612157707,0.6149388435852662,0.6199437690993882,2,True,1.0,32,3,0.519185959493589,0.08525132751424097,4.336808689942018e-19,4.336808689942018e-19,0.0056755732405090985,recall_or_current,2,0.671152070990078,0.6717505458599993,True,0.0002396755955553748,0.6058409180654761,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
42,learning_rich,0.6742773525502985,0.756221007787724,0.6149388435852662,0.6344236966726728,2,True,1.0,33,3,0.5377969266603941,0.08525132751424097,0.0,0.0,0.010164451475571216,recall_or_current,2,0.6742773525502985,0.6746872066632162,True,0.00028667807491472054,0.628224921522409,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
43,learning_rich,0.6762723124860224,0.7609709123965905,0.6149388435852662,0.6436191331165382,2,True,1.0,34,3,0.5544139729594696,0.08525132751424097,0.0,0.0,0.007132966492068739,recall_or_current,2,0.6762723124860224,0.6770977309992197,True,0.0003243127784765681,0.6427473186538276,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
44,learning_rich,0.6774993741960711,0.7638924878967064,0.6149388435852662,0.6492434237779712,2,True,1.0,35,3,0.5691842211078618,0.08525132751424097,0.0,0.0,0.010216161822947236,recall_or_current,2,0.6774993741960711,0.6747765624748991,True,0.00035391716032181006,0.6519393052878844,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
45,learning_rich,0.6781990853548322,0.7655584668461376,0.6149388435852662,0.6524770156338604,2,True,1.0,36,3,0.5822660048174982,0.08525132751424097,0.0,0.0,0.010133034063715879,recall_or_current,2,0.6781990853548322,0.6745227715056707,True,0.0003761346552620763,0.657535854348876,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
46,learning_rich,0.6785680606637646,0.766436979486453,0.6149388435852662,0.6541351383933145,2,True,1.0,1,3,0.5938222515190502,0.08525132751424097,0.0,0.0,0.010239591159389874,recall_or_current,2,0.6785680606637646,0.6750538301126153,True,0.00039356047553791904,0.6607319768881931,-0.060331625461293975,1.3987181183579,-0.0020537936847895588,0.3194660136419547,0.03619793692346382,0.29375521603091626,-0.036044508189391714,0.18918664754318248,0.0318460128667413,0.1047769019300112
47,learning_rich,0.6839877464416297,0.7668372130262511,0.6239933051217317,0.6547962062701136,2,True,1.0,2,3,0.6046421109097597,0.0826304258245589,0.012533164313375375,0.0,0.012533164313375375,explore,2,0.678713526025883,0.6839877464416297,True,0.00040672466815419226,0.6623510513085611,-0.061458652585078946,1.3977601453026829,0.002597243435587275,0.3206752832932527,0.02636298805433217,0.29001793546064625,-0.04008121208134581,0.18797563637559628,0.02724637443492467,0.1040869561652387
