generation,population_size,total_nodes,mean_unit_nodes,min_unit_nodes,max_unit_nodes,mean_resource,mean_maintenance,mean_unit_age
0,1,24,24.0,24,24,0.35167605574862226,0.3187821636276054,0.0
1,1,24,24.0,24,24,0.4620009528002163,0.456095659958547,1.0
2,1,24,24.0,24,24,0.5327107876437603,0.5275559606236658,2.0
3,1,24,24.0,24,24,0.5782612877878917,0.572503916912163,3.0
4,1,24,24.0,24,24,0.6144350143649745,0.6078978932257783,4.0
5,1,24,24.0,24,24,0.6300953315938831,0.6227293626165823,5.0
6,1,24,24.0,24,24,0.6376957882459435,0.630065492801604,6.0
7,1,24,24.0,24,24,0.6377174757422434,0.6299347071294636,7.0
8,1,24,24.0,24,24,0.636266134965086,0.628476467717099,8.0
9,1,24,24.0,24,24,0.6349625419669406,0.627233472081832,9.0
10,1,24,24.0,24,24,0.6343505522416929,0.626662151091376,10.0
11,1,24,24.0,24,24,0.634574367492582,0.6268747918944843,11.0
12,1,24,24.0,24,24,0.6355064702782028,0.6277435511885024,12.0
13,1,24,24.0,24,24,0.6369132252661802,0.6290453920544224,13.0
14,1,24,24.0,24,24,0.6385480897249297,0.6305454436381795,14.0
15,1,24,24.0,24,24,0.6401904515426978,0.6320332247234991,15.0
16,1,24,24.0,24,24,0.6416521777098757,0.6333292953185731,16.0
17,2,22,11.0,5,17,0.5774600056355528,0.5754849681762377,0.0
18,2,22,11.0,5,17,0.6660213210232392,0.6641616275794928,1.0
19,2,22,11.0,5,17,0.7341455858627834,0.7324023174201663,2.0
20,2,22,11.0,5,17,0.7882175613408315,0.7865646529928816,3.0
21,2,22,11.0,5,17,0.8312290107466318,0.8296224852134386,4.0
22,2,22,11.0,5,17,0.8640960589872093,0.8624867085063153,5.0
23,2,22,11.0,5,17,0.8867012458229637,0.885028734490547,6.0
24,2,22,11.0,5,17,0.9037526878434647,0.9020517702740776,7.0
25,2,22,11.0,5,17,0.917539931022108,0.9157957967805028,8.0
26,2,22,11.0,5,17,0.9278938135589674,0.9260646015144509,9.0
27,2,22,11.0,5,17,0.9353103762489271,0.9333708887932242,10.0
28,2,22,11.0,5,17,0.940424518211043,0.9383573928784136,11.0
